아미드 호텔 서울,호텔,서울 종로구 인사동5길 38,친절해요,침구가 좋아요,가성비가 좋아요,깨끗해요,대중교통이 편해요
-,-,-,-,-,-,-,-
이와_안길사가,전통숙소,서울 종로구 북촌로1길 24-2 1층,인테리어가 멋져요,침구가 좋아요,깨끗해요,조용히 쉬기 좋아요,냉난방이 잘돼요
-,-,-,-,-,-,-,-
북어나잇 시인의 집,전통숙소,서울 종로구 필운대로 26-21,조용히 쉬기 좋아요,깨끗해요,화장실이 잘 되어있어요,인테리어가 멋져요,침구가 좋아요
한옥 201,게스트하우스,서울 종로구 북촌로 40-3 차로 오실땐 반드시 [북촌로 40]으로 검색해 주세요,친절해요,조용히 쉬기 좋아요,깨끗해요,냉난방이 잘돼요,대중교통이 편해요
SimpleStay Hotel,모텔,서울 종로구 수표로26길 11,깨끗해요,침구가 좋아요,조용히 쉬기 좋아요,친절해요,근처에 갈 곳이 많아요
종로아이엠티호텔,모텔,서울 종로구 수표로18가길 8,친절해요,깨끗해요,조용히 쉬기 좋아요,대중교통이 편해요,근처에 갈 곳이 많아요
나그네하우스,모텔,서울 종로구 자하문로1나길 6,친절해요,인테리어가 멋져요,조용히 쉬기 좋아요,깨끗해요,근처에 갈 곳이 많아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
정연재,전통숙소,서울 종로구 삼청로7길 19-14,조용히 쉬기 좋아요,깨끗해요,인테리어가 멋져요,근처에 갈 곳이 많아요,사진이 잘 나와요
브라운도트 호텔 종로점,호텔,서울 종로구 수표로22길 5,깨끗해요,침구가 좋아요,친절해요,조용히 쉬기 좋아요,인테리어가 멋져요
-,-,-,-,-,-,-,-
호텔더메이,1급,서울 종로구 수표로26길 10 호텔 더 메이,침구가 좋아요,깨끗해요,친절해요,근처에 갈 곳이 많아요,조용히 쉬기 좋아요
스테이 다반사,전통숙소,서울 종로구 자하문로1다길 6-11,조용히 쉬기 좋아요,깨끗해요,인테리어가 멋져요,침구가 좋아요,냉난방이 잘돼요
호텔야자 종로점,모텔,서울 종로구 수표로28길 9-1 호텔 종로야자,침구가 좋아요,친절해요,깨끗해요,조용히 쉬기 좋아요,근처에 갈 곳이 많아요
헤리티지31호텔,모텔,서울 종로구 삼일대로17길 20-3 헤리티지31호텔,침구가 좋아요,깨끗해요,조용히 쉬기 좋아요,냉난방이 잘돼요,화장실이 잘 되어있어요
사적인,전통숙소,서울 종로구 율곡로4길 11-8 한옥,인테리어가 멋져요,깨끗해요,조용히 쉬기 좋아요,친절해요,침구가 좋아요
-,-,-,-,-,-,-,-
우게스트하우스,게스트하우스,서울 종로구 삼청로 22 5층,침구가 좋아요,깨끗해요,조용히 쉬기 좋아요,친절해요,대중교통이 편해요
눈꽃게스트하우스,레지던스,서울 종로구 성균관로 12 유니지오 4층,침구가 좋아요,깨끗해요,조용히 쉬기 좋아요,친절해요,대중교통이 편해요
호텔 다다,2급,서울 종로구 삼일대로32가길 33 호텔다다,침구가 좋아요,깨끗해요,대중교통이 편해요,친절해요,조용히 쉬기 좋아요
-,-,-,-,-,-,-,-
서울이야기한옥,전통숙소,서울 종로구 율곡로5길 3-19 서울이야기한옥,친절해요,조용히 쉬기 좋아요,깨끗해요,침구가 좋아요,냉난방이 잘돼요
더포스트호텔,모텔,서울 종로구 수표로18길 15-1 더포스트호텔,친절해요,깨끗해요,조용히 쉬기 좋아요,화장실이 잘 되어있어요,침구가 좋아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
인사동크라운호텔,2성급,서울 종로구 삼일대로30길 9 종로크라운호텔,친절해요,주차하기 편해요,깨끗해요,침구가 좋아요,방음이 잘돼요
IBC호텔,3성급,서울 종로구 난계로 241,깨끗해요,친절해요,침구가 좋아요,주차하기 편해요,냉난방이 잘돼요
-,-,-,-,-,-,-,-
하노크북촌,전통숙소,서울 종로구 북촌로11길 17-5,조용히 쉬기 좋아요,깨끗해요,인테리어가 멋져요,근처에 갈 곳이 많아요,침구가 좋아요
"오롯이, 한옥",전통숙소,서울 종로구 필운대로5가길 13-4,침구가 좋아요,깨끗해요,친절해요,조용히 쉬기 좋아요,인테리어가 멋져요
-,-,-,-,-,-,-,-
노탐하우스,게스트하우스,서울 종로구 삼일대로 440 8층,깨끗해요,침구가 좋아요,냉난방이 잘돼요,뷰가 좋아요,조용히 쉬기 좋아요
이호소락,전통숙소,서울 종로구 북촌로5가길 17-8,조용히 쉬기 좋아요,인테리어가 멋져요,근처에 갈 곳이 많아요,사진이 잘 나와요,침구가 좋아요
-,-,-,-,-,-,-,-
한옥체험 풍경,전통숙소,서울 종로구 성균관로 32-6,조용히 쉬기 좋아요,친절해요,깨끗해요,근처에 갈 곳이 많아요,대중교통이 편해요
노블 관광호텔 인사동,2성급,서울 종로구 율곡로6길 13-3 노블 관광호텔,친절해요,조용히 쉬기 좋아요,깨끗해요,대중교통이 편해요,냉난방이 잘돼요
-,-,-,-,-,-,-,-
호텔쿠레타케소,2성급,서울 종로구 인사동길 20-9,친절해요,조용히 쉬기 좋아요,침구가 좋아요,깨끗해요,냉난방이 잘돼요
