전쟁기념사업회 전쟁기념관,박물관,서울 용산구 이태원로 29,유익해요,주차하기 편해요,전시 구성이 알차요,설명이 잘 되어있어요,공간이 넓어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
데이블러,"카페,디저트",서울 용산구 한강대로 290-1 1층 데이블러,인테리어가 멋져요,커피가 맛있어요,디저트가 맛있어요,사진이 잘 나와요,친절해요
옹근달 용산점,"카페,디저트",서울 용산구 한강대로40길 18-3 옹근달 용산점,디저트가 맛있어요,커피가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,음료가 맛있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
쿼츠,"카페,디저트",서울 용산구 한강대로 158 1층,커피가 맛있어요,특별한 메뉴가 있어요,친절해요,음료가 맛있어요,매장이 청결해요
케르반베이커리&카페,베이커리,서울 용산구 이태원로 208,특별한 메뉴가 있어요,빵이 맛있어요,친절해요,음료가 맛있어요,커피가 맛있어요
카페타자기,"카페,디저트",서울 용산구 신흥로 97-5 내제 2층호,뷰가 좋아요,커피가 맛있어요,인테리어가 멋져요,사진이 잘 나와요,음료가 맛있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
mtl 한남,"카페,디저트",서울 용산구 이태원로49길 24 1층 mtl,커피가 맛있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요,음료가 맛있어요
롯데아울렛 서울역점,아울렛,서울 용산구 한강대로 405 롯데아울렛서울역점,가성비가 좋아요,종류가 다양해요,친절해요,품질이 좋아요,매장이 넓어요
-,-,-,-,-,-,-,-
빌라커피바,"카페,디저트",서울 용산구 신흥로 101-9 2층,뷰가 좋아요,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,사진이 잘 나와요
패션5,베이커리,서울 용산구 이태원로 272 SPC빌딩,빵이 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,매장이 청결해요,친절해요
서울루덴스,카페,서울 용산구 회나무로 69 2F,뷰가 좋아요,사진이 잘 나와요,인테리어가 멋져요,음료가 맛있어요,커피가 맛있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
아우어베이커리 용산아이파크몰점,베이커리,서울 용산구 한강대로23길 55 4층 17-2호,빵이 맛있어요,커피가 맛있어요,음료가 맛있어요,친절해요,특별한 메뉴가 있어요
-,-,-,-,-,-,-,-
타르틴베이커리 용산아이파크몰점,베이커리,서울 용산구 한강대로23길 55 HDC 아이파크몰 패션파크 1층,빵이 맛있어요,커피가 맛있어요,음료가 맛있어요,특별한 메뉴가 있어요,대화하기 좋아요
경성빵공장 카스테라점,베이커리,서울 용산구 한강대로88길 11-5,빵이 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,커피가 맛있어요,음료가 맛있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
도토리 용산점,"카페,디저트",서울 용산구 한강대로52길 25-6 1층,디저트가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,커피가 맛있어요,사진이 잘 나와요
