레애케이크,케이크전문,서울 금천구 시흥대로73길 11 무지개상가 2층 205호,미니돔,1호기준,선물하기 좋아요,친절해요,특별한 메뉴가 있어요,디저트가 맛있어요,사진이 잘 나와요
도원중식뷔페 가산직영점,중식당,서울 금천구 범안로 1130 1층,중식뷔페,짬뽕 한그릇 가격으로 매일 색다른 중국요리 10가지를 마음껏 즐기세요!,음식이 맛있어요,가성비가 좋아요,양이 많아요,친절해요,혼밥하기 좋아요
가산동닭한마리,닭요리,서울 금천구 가산로 142,닭한마리,칼국수사리 / 만두사리 / 배추사리 /떡사리 / 감자사리,음식이 맛있어요,양이 많아요,가성비가 좋아요,친절해요,고기 질이 좋아요
-,-,-,-,-,-,-,-,-,-
태우마 본점,"육류,고기요리",서울 금천구 범안로17길 9 한아마인드아파트 1층 상가,우마왕 소고기 삼합 1인,"소고기 특수부위(160g), 키조개 관자, 새송이버섯이 이루는 아름다운 조합",음식이 맛있어요,친절해요,특별한 메뉴가 있어요,재료가 신선해요,고기 질이 좋아요
-,-,-,-,-,-,-,-,-,-
빠오즈푸 가산점,중식당,서울 금천구 벚꽃로 298 대륭포스트타워6차 지하1층 139호,고기빠오즈,,음식이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,가성비가 좋아요
두껍삼 가산직영점,돼지고기구이,서울 금천구 벚꽃로38길 43,숙성 삼겹살 (150g),,음식이 맛있어요,고기 질이 좋아요,직접 잘 구워줘요,친절해요,단체모임 하기 좋아요
BFF COFFEE,"카페,디저트",서울 금천구 독산로106길 8 지상1층,'밀크티는 Best Friend',사진으로는 표현이 안되는 이 맛,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,특별한 메뉴가 있어요,친절해요
망향비빔국수 가산디지털단지점,국수,서울 금천구 가산디지털1로 186 제이플라츠,비빔국수,,음식이 맛있어요,가성비가 좋아요,혼밥하기 좋아요,친절해요,매장이 넓어요
찐퍼,베트남음식,서울 금천구 가산디지털1로 181 103호,Phở chín (양지 생면 쌀국수),"신선한 야채 와 생면, 특제 소스로 볶아낸 소고기, 수제소스의 완벽한 결합",음식이 맛있어요,재료가 신선해요,양이 많아요,친절해요,현지 맛에 가까워요
