춘 마곡점,이자카야,"서울 강서구 마곡중앙6로 70 2층 210호, 211호",모둠 사시미,10종류 이상의 구성으로 32피스 이상 제공,음식이 맛있어요,기본 안주가 좋아요,인테리어가 멋져요,친절해요,특별한 메뉴가 있어요
다온다 김밥국수,종합분식,서울 강서구 강서로47길 40 1층,잔치국수,"직접 오래 우린 멸치 육수에, 당일 볶은 신선한 야채 고명을 얹어 맛있게 만들었습니다",음식이 맛있어요,재료가 신선해요,친절해요,가성비가 좋아요,혼밥하기 좋아요
오유미당 마곡점,돈가스,서울 강서구 마곡중앙6로 66 퀸즈파크텐 1층 B동 120호 오유미당 마곡점,특등심돈카츠,살코기의 담백함보다 고소한 지방을 좋아하신다면 원픽,음식이 맛있어요,매장이 청결해요,친절해요,특별한 메뉴가 있어요,재료가 신선해요
야키니쿠 진범 마곡발산본점,"육류,고기요리",서울 강서구 마곡중앙8로 90 114호,정직한 소고기 범스페셜 세트,"[300g]-한우A++와 동급인 미국최상위 프라임등급 소고기3부위,제주흑돼지2부위 특별조합",음식이 맛있어요,고기 질이 좋아요,친절해요,인테리어가 멋져요,특별한 메뉴가 있어요
-,-,-,-,-,-,-,-,-,-
청북경오리,중식당,서울 강서구 마곡동로4길 15 엠펠리체 3층,북경오리 한마리,쉐프가 직접 테이블 앞에서 서비스 해주는 정통 북경오리 구이,음식이 맛있어요,특별한 메뉴가 있어요,단체모임 하기 좋아요,양이 많아요,매장이 넓어요
신세대맥주 마곡나루점,"맥주,호프",서울 강서구 마곡중앙로 161-8 1층 제씨-112호 신세대맥주,신세대맥주,🍺청량감 100% 냉각기를 거치지않고 깨끗한 맛~ 일품 생맥주!🍻,음식이 맛있어요,기본 안주가 좋아요,친절해요,가성비가 좋아요,술이 다양해요
감성9091,돼지고기구이,서울 강서구 공항대로 345 2층 감성9091돼지,삼겹살,국내산 프리미엄 삼겹살,음식이 맛있어요,매장이 넓어요,친절해요,고기 질이 좋아요,단체모임 하기 좋아요
옥소반 마곡본점,샤브샤브,"서울 강서구 마곡중앙6로 45 1층 123,124호",런치A세트-샤브샤브(미국산전각),"쇠고기(미국산 전각80g)샐러드,신선한야채,단호박,두부,떡,소스3종,칼국수or죽(택1)",음식이 맛있어요,재료가 신선해요,친절해요,인테리어가 멋져요,매장이 청결해요
이가네 양갈비 양꼬치 마곡나루점,양꼬치,서울 강서구 마곡중앙로 161-8 두산더랜드파크b동제1층 110호,양갈비,메인요리,음식이 맛있어요,고기 질이 좋아요,친절해요,매장이 청결해요,가성비가 좋아요
