불타는곱창 본점,"곱창,막창,양",서울 종로구 종로35길 8 백제한의원,소곱창구이(1인분),당일 도축한 소곱창으로만 요리를 해서 신선합니다.,음식이 맛있어요,친절해요,가성비가 좋아요,매장이 청결해요,재료가 신선해요
청계도깨비 대학로 본점,"육류,고기요리",서울 종로구 동숭길 98 청계도깨비 대학로 본점,🥩시그니쳐🥩칠게숯불돼지갈비250g,남도에서 잡아온 신선한 칠게장으로 맛을 내 고소하고 달콤한 시그니쳐양념구이,음식이 맛있어요,고기 질이 좋아요,인테리어가 멋져요,친절해요,매장이 넓어요
도량,중식당,"서울 종로구 자하문로6길 6 2, 3층",도량정식1인,두가지탕. 소고기 또는 양고기 130g. 야채류. 버섯류.두부완자류. 등등 소스.,음식이 맛있어요,재료가 신선해요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요
개성만두 궁,만두,서울 종로구 인사동10길 11-3,고기만두전골,"1인기준 4개의 고기만두, 야채, 버섯, 편육이 육수에 담겨 나옵니다.",음식이 맛있어요,재료가 신선해요,친절해요,특별한 메뉴가 있어요,양이 많아요
은돼지식당,"육류,고기요리",서울 종로구 대학로9길 29,숙성 삼겹살 150g,10일간의 숙성 국내산 암돼지,음식이 맛있어요,친절해요,고기 질이 좋아요,가성비가 좋아요,매장이 청결해요
닥터로빈 광화문점,이탈리아음식,서울 종로구 종로3길 17 D-타워 5층,통단호박크림스프(2~3인용),100% 국내산 콩으로 만든 크림 스프를 통단호박 속에 담아 고소함과 건강함이 가득한 스프,음식이 맛있어요,재료가 신선해요,특별한 메뉴가 있어요,친절해요,매장이 넓어요
포담 서촌본점,중식당,서울 종로구 사직로 133-10 2층 포담,가지딤섬,가지 속에 다진 고기와 새우를 넣어 겉은 바삭하고 속은 촉촉하게 튀겨낸 딤섬,음식이 맛있어요,특별한 메뉴가 있어요,매장이 청결해요,친절해요,아늑해요
-,-,-,-,-,-,-,-,-,-
북촌도담,한식,서울 종로구 북촌로1길 9,소고기뭇국,잘 삶은 소고기와 뭇국이 어우러져 시원하고 개운한 맛을 즐기실 수 있습니다. 공기밥이 함께 제공됩니다.,음식이 맛있어요,친절해요,양이 많아요,재료가 신선해요,가성비가 좋아요
온천집,샤브샤브,서울 종로구 돈화문로11나길 31-8,온천 곰 샤브,귀여운 백곰 두마리가 떠나는 온천 여행! 온천집만의 비법 육수로 만든 곰 샤브,음식이 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,재료가 신선해요,친절해요
잘빠진메밀 서촌 본점,막국수,서울 종로구 자하문로11길 4,메밀꽃 만두전골,잘메표 샤브샤브 스타일의 고기 듬뿍 만두전골 추운날 따뜻하게 즐겨 보세요 !,음식이 맛있어요,재료가 신선해요,특별한 메뉴가 있어요,친절해요,양이 많아요
-,-,-,-,-,-,-,-,-,-
촌놈,돼지고기구이,서울 종로구 대학로8가길 48,돈비너스살(170g),"36개월 미만 돼지 ""자체숙성"" 꼬들하고 꼬소한 특수부위",음식이 맛있어요,고기 질이 좋아요,친절해요,특별한 메뉴가 있어요,매장이 넓어요
오스테리아소띠,이탈리아음식,서울 종로구 자하문로10길 10-19,보타르가,"새우, 관자, 염장 숭어알을 곁들인 오일 스파게티니",음식이 맛있어요,인테리어가 멋져요,재료가 신선해요,특별한 메뉴가 있어요,친절해요
선비옥,"육류,고기요리",서울 종로구 종로16길 23 지상1층(관수동),신선한한우암소 사시미 200g,신선한 육회와 사시미를 한번에!,음식이 맛있어요,친절해요,고기 질이 좋아요,양이 많아요,가성비가 좋아요
이태리재,이탈리아음식,서울 종로구 율곡로1길 74-9,치케티 믹스,"Today Mixed Cichetti (Arancini, Meatball and more)",음식이 맛있어요,친절해요,특별한 메뉴가 있어요,특별한 날 가기 좋아요,재료가 신선해요
익선정육,"육류,고기요리",서울 종로구 돈화문로11다길 9 1층,항삼이(540g 2~3인분),깍뚝항정+깍뚝삼겹살 세트메뉴,음식이 맛있어요,고기 질이 좋아요,친절해요,특별한 메뉴가 있어요,양이 많아요
숙달돼지 종각점,돼지고기구이,서울 종로구 종로8길 15,삼겹살 (150g),숙달돼지의 대표 메뉴로 단백질과 지방이 완벽한 조화를 이룬 부위를 엄선해 숙달만의 습식 숙성으로 삼겹살 진화의 끝을 봤습니다.,음식이 맛있어요,고기 질이 좋아요,친절해요,단체모임 하기 좋아요,특별한 메뉴가 있어요
인사동마늘보쌈,"족발,보쌈",서울 종로구 인사동8길 12-5,(평일)보쌈정식,서울시 보쌈 맛집 1위 2관을 달성한 마늘보쌈으로 구성된 보쌈정식메뉴입니다.,음식이 맛있어요,친절해요,특별한 메뉴가 있어요,가성비가 좋아요,양이 많아요
삼겹살전문점대통령 본점,"육류,고기요리",서울 종로구 대학로14길 12-1,구이삼겹살,,음식이 맛있어요,친절해요,고기 질이 좋아요,특별한 메뉴가 있어요,재료가 신선해요
