반디지치,덮밥,서울 중랑구 면목로40길 16 1층,에비동 정식,새우튀김과 꽈리고추 튀김이 올라가는 에비동 정식,음식이 맛있어요,재료가 신선해요,친절해요,혼밥하기 좋아요,양이 많아요
홍이네떡볶이,떡볶이,서울 중랑구 망우로73길 26,올떡,떡+오뎅,음식이 맛있어요,가성비가 좋아요,친절해요,특별한 메뉴가 있어요,양이 많아요
장어굽는 총각들,"장어,먹장어요리",서울 중랑구 면목로44길 12 장어굽는총각들,국내산 민물 시그니쳐 세트,"민물장어 1마리 + 문어숙회 + 소라숙회 + 육회 大2마리 1Kg으로 변경시 +17,00원",음식이 맛있어요,가성비가 좋아요,친절해요,재료가 신선해요,특별한 메뉴가 있어요
육미제당 묵동점,"육류,고기요리",서울 중랑구 동일로 938 월등스카이뷰아파트,육미제당 자유이용권(11세이상),"8~10세 11,500원/ 5~7세 9,000원",음식이 맛있어요,고기 질이 좋아요,양이 많아요,가성비가 좋아요,친절해요
산채가 한정식 먹골본점,한식,서울 중랑구 동일로157길 30 산채가 (7호선 먹골역5번 6번 출구 사이로 도보3분),곤드레가마솥 특선정식(2인이상),곤드레가마솥밥+12종반찬+생선구이(가자미)+제육볶음+쌈류+황태구이+더덕구이+된장찌개,음식이 맛있어요,건강한 맛이에요,재료가 신선해요,반찬이 잘 나와요,메뉴 구성이 알차요
고기반햄반김치찌개&김치찜 상봉본점,"찌개,전골",서울 중랑구 상봉로 76 1층 고기반햄반김치찌개&김치찜,우삼겹 고기반 김치찜 2인 세트대표,불맛 가득한 우삼겹이 토핑으로 올라가는 매콤새콤달콤 김치찜:),음식이 맛있어요,양이 많아요,가성비가 좋아요,친절해요,재료가 신선해요
단골손님 상봉점,술집,서울 중랑구 망우로50길 15 1층,꼬막육회비빔밥,국내산 꼬막과 와규 육회 그리고 특제 고추장소스로 눈과 입을 즐겁게 만드는 단골손님시그니처,음식이 맛있어요,가성비가 좋아요,대화하기 좋아요,술이 다양해요,특별한 메뉴가 있어요
소믈,양식,서울 중랑구 양원역로14가길 13 102호,메뉴/주류 변동 될 수 있습니다.,텍스트 메뉴판(이미지)을 참고해주세요.,음식이 맛있어요,인테리어가 멋져요,친절해요,매장이 청결해요,재료가 신선해요
미나리산장 사가정역점,한식,서울 중랑구 사가정로51길 7 1층,미나리감자탕,,음식이 맛있어요,재료가 신선해요,양이 많아요,친절해요,특별한 메뉴가 있어요
소보심,베이커리,서울 중랑구 망우로 376 1층,플레인 소보로,소보심의 마음心으로 재해석한 소보로빵,빵이 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,친절해요,매장이 청결해요
명륜진사갈비 묵동점,"육류,고기요리",서울 중랑구 동일로 937 1층,명륜진사갈비 자유이용(성인),"7~9세 (초등1~3년) 11,000원 4~6세 (미취학) 9,000원",음식이 맛있어요,고기 질이 좋아요,가성비가 좋아요,매장이 넓어요,양이 많아요
빈스로드 상봉본점,"카페,디저트",서울 중랑구 봉화산로 111,아메리카노,,디저트가 맛있어요,음료가 맛있어요,인테리어가 멋져요,친절해요,커피가 맛있어요
디오리진,"카페,디저트",서울 중랑구 망우로32길 7 1층,에그타르트,고소한 버터 풍미 가득한 파이지에 푸딩처럼 부드러운 필링을 가득 담은 베스트 메뉴예요:)♥,디저트가 맛있어요,커피가 맛있어요,친절해요,음료가 맛있어요,매장이 청결해요
한국횟집,일식당,서울 중랑구 중랑역로 34 1층,광어 소,,음식이 맛있어요,재료가 신선해요,양이 많아요,친절해요,가성비가 좋아요
항아리 김치찌개,"찌개,전골",서울 중랑구 중랑역로50길 4,묵은지딝볶음탕,,음식이 맛있어요,친절해요,양이 많아요,재료가 신선해요,가성비가 좋아요
소담촌 상봉점,샤브샤브,서울 중랑구 망우로 328 상봉시네마시티빌딩 15층,월남쌈 샤브 정식(점심),,음식이 맛있어요,재료가 신선해요,가성비가 좋아요,매장이 넓어요,양이 많아요
안주,요리주점,서울 중랑구 망우로50길 30 2층,오마카세사시미,사시미4종,음식이 맛있어요,기본 안주가 좋아요,친절해요,대화하기 좋아요,가성비가 좋아요
주릉도원 사가정점,요리주점,서울 중랑구 사가정로51길 39 1층,아롱사태 스지전골,매일 직접 삶는 사태와 스지로 사골의 깊은맛을 낸 보양식,음식이 맛있어요,기본 안주가 좋아요,인테리어가 멋져요,친절해요,술이 다양해요
자가제빵선명희피자 면목본점,피자,서울 중랑구 면목로48길 11,매운바싹불고기피자N,선명희피자 대표메뉴 바싹불고기피자가 할라피뇨와 청양고추가 만나 맛있게 맵다!,음식이 맛있어요,가성비가 좋아요,재료가 신선해요,친절해요,양이 많아요
FEEL EAT 필릿,"카페,디저트",서울 중랑구 송림길 5 1층 FEEL EAT,과일 바스켓 케이크,"부드러운 제누와즈 시트와 고소한 우유 생크림, 생과일이 가득 들어간 바스켓케이크",디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,특별한 메뉴가 있어요,친절해요
작은부엌,"스파게티,파스타전문",서울 중랑구 면목로 361 1층 우측,허니갈릭 페스츄리 피자,,음식이 맛있어요,친절해요,재료가 신선해요,특별한 메뉴가 있어요,양이 많아요
잉꼬네떡볶이,종합분식,서울 중랑구 용마산로120길 43,우디안 데시앙플렉스 skv1센터 중랑경찰서,,음식이 맛있어요,가성비가 좋아요,친절해요,양이 많아요,재료가 신선해요
왕십리불곱창,"곱창,막창,양",서울 중랑구 상봉로 102,소금막창,,음식이 맛있어요,친절해요,양이 많아요,가성비가 좋아요,매장이 청결해요
봉일천돼지부속,돼지고기구이,서울 중랑구 면목로 463 1층 봉일천돼지부속,모둠,,음식이 맛있어요,가성비가 좋아요,친절해요,양이 많아요,특별한 메뉴가 있어요
동네술집 상봉점,이자카야,서울 중랑구 망우로50길 36 1층 동네술집,모듬물회,계절인기메뉴,음식이 맛있어요,친절해요,술이 다양해요,특별한 메뉴가 있어요,기본 안주가 좋아요
마구로,생선회,서울 중랑구 망우로 270 2층,주방장특선,"참다랑어,뱃살,눈다랑어,가마살,뱃살,배꼽살,등살,머릿살,황새치,배꼽살,중뱃살",음식이 맛있어요,재료가 신선해요,특별한 메뉴가 있어요,친절해요,가성비가 좋아요
도톰,돼지고기구이,서울 중랑구 면목로 302-1 1층,도톰 삼겹살,,음식이 맛있어요,고기 질이 좋아요,친절해요,직접 잘 구워줘요,매장이 청결해요
-,-,-,-,-,-,-,-,-,-
카페브릭,"카페,디저트",서울 중랑구 신내역로1길 127-11,그릴 클럽 샌드위치,,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,음료가 맛있어요,대화하기 좋아요
-,-,-,-,-,-,-,-,-,-
일비족발,"족발,보쌈",서울 중랑구 봉우재로 141 1층,[인기만점]일비족발(소),맛있는 건 먹어없애자. 마구마구 혼내주세요 일비가 자랑하는 일.비.족.발. /비빔감자면(막국수느낌 서비스)+야채+새우젓+쌈장+양파고추짱아찌+무생채+부추,음식이 맛있어요,고기 질이 좋아요,친절해요,특별한 메뉴가 있어요,양이 많아요
담화,요리주점,"서울 중랑구 망우로48길 15 1층, 2층",치킨 가라아게,부드러운 닭다리살만을 사용하여 겉은 바삭하고 속은 촉촉하게 튀겨낸 닭튀김,음식이 맛있어요,인테리어가 멋져요,친절해요,대화하기 좋아요,특별한 메뉴가 있어요
소문난 황칠 순대국 왕족발,국밥,서울 중랑구 겸재로 217 1층,황칠 왕족발,조미료를 넣지 않고 황칠 나무와 도드람 국내산 생족을 당일 삶아 당일 판매만 합니다.,음식이 맛있어요,양이 많아요,재료가 신선해요,가성비가 좋아요,친절해요
88로타리집 중랑신내점,돼지고기구이,서울 중랑구 신내로10길 26 1층 102호,특제양념소스(110g),수제 특제소스로 감미를 더한 88로타리집 시크릿 메뉴,음식이 맛있어요,고기 질이 좋아요,친절해요,가성비가 좋아요,매장이 청결해요
홍길동 회 수산,생선회,서울 중랑구 봉우재로33길 47 1층,모둠회(소),모둠회는 구성품목 소진시 다른어종으로 대체 합니다 연어회는 원하시는 분만 주문시 추가해주세요,음식이 맛있어요,재료가 신선해요,가성비가 좋아요,친절해요,양이 많아요
카페 포즈 중랑,"카페,디저트","서울 중랑구 동일로 951 롯데시네마 중랑관 1, 2층",바닐라 아이스크림 크로플,,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요,매장이 청결해요
묵동할머니떡볶이,떡볶이,서울 중랑구 공릉로12가길 14,수제 찹쌀 탕수육,2개 이상 메뉴 구매고객에 한정판매가적용,음식이 맛있어요,친절해요,가성비가 좋아요,특별한 메뉴가 있어요,양이 많아요
커피스터프,"카페,디저트",서울 중랑구 망우로42길 10 1층,아메리카노(M),,커피가 맛있어요,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,음료가 맛있어요
이학갈비,"육류,고기요리",서울 중랑구 면목로 310,한우꽃등심,,음식이 맛있어요,매장이 넓어요,친절해요,단체모임 하기 좋아요,고기 질이 좋아요
까망통돼지,돼지고기구이,서울 중랑구 면목로 488,통생고기,,음식이 맛있어요,친절해요,가성비가 좋아요,양이 많아요,고기 질이 좋아요
묵동부대찌개,"찌개,전골",서울 중랑구 중랑역로 247 1층,소세지추가 소,,음식이 맛있어요,재료가 신선해요,친절해요,양이 많아요,가성비가 좋아요
