"케르반 카페, 디저트&브런치",베이커리,서울 용산구 우사단로10길 17 1층,카이막2인세트,느끼함 없는 부드러운 카이막과 입안가득달콤한 꿀과 함께 라마단 피데와 함께 즐기는세트입니다,특별한 메뉴가 있어요,빵이 맛있어요,친절해요,인테리어가 멋져요,음료가 맛있어요
별진,"육류,고기요리",서울 용산구 한강대로77길 11,야끼니꾸세트,"육사시미, 육초밥, 스테이크, 야끼니꾸로 구성된 세트메뉴입니다.",음식이 맛있어요,친절해요,매장이 넓어요,단체모임 하기 좋아요,고기 질이 좋아요
참새집 한남점,요리주점,서울 용산구 대사관로30길 21 1층 참새집 한남본점,짹짹한우육회,"+우동 사리 / 당면 3,0 (국내산 순살 닭도리탕)",음식이 맛있어요,술이 다양해요,특별한 메뉴가 있어요,친절해요,기본 안주가 좋아요
카페타자기,"카페,디저트",서울 용산구 신흥로 97-5 내제 2층호,초코타자기,초코 아인슈페너,뷰가 좋아요,커피가 맛있어요,인테리어가 멋져요,사진이 잘 나와요,음료가 맛있어요
케르반 레스토랑,아시아음식,서울 용산구 이태원로 192 1층,치킨 스테이크 (런치 세트 메뉴),Chicken Steak (Lunch Set Menu),음식이 맛있어요,친절해요,현지 맛에 가까워요,인테리어가 멋져요,매장이 넓어요
한입소반,김밥,서울 용산구 청파로45길 3 1층,묵은지참치김밥,한입소반의 시그니처 NO.1 대표메뉴,음식이 맛있어요,특별한 메뉴가 있어요,재료가 신선해요,양이 많아요,가성비가 좋아요
장마가시작될때,"카페,디저트",서울 용산구 회나무로28길 6-3 지하1층,바닐라라떼,,커피가 맛있어요,인테리어가 멋져요,친절해요,사진이 잘 나와요,대화하기 좋아요
헤미안,양식,서울 용산구 녹사평대로 250 103호 헤미안,프토닭,숙성 프렌치 토스트와 숙성 닭다리가 만나 단짠의 극강 조합 대한민국 1인자 치킨프렌치토스트,음식이 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요,매장이 청결해요
창화돈 삼각지본점,"육류,고기요리","서울 용산구 백범로99길 56 1, 2층",돼지고기 한상(650g),(3인세트) 삼겹살+목살+갈매기살+껍살+감자+꽈리고추+청어알젓갈 구성입니다(650g),음식이 맛있어요,고기 질이 좋아요,친절해요,특별한 메뉴가 있어요,매장이 청결해요
언뎁트,"카페,디저트","서울 용산구 두텁바위로13길 11 1,2층",아메리카노,,커피가 맛있어요,인테리어가 멋져요,사진이 잘 나와요,친절해요,디저트가 맛있어요
침스버거 신용산,햄버거,서울 용산구 한강대로40길 43 1층 109호,블루침스버거,블루치즈가 들어간 '침스버거'의 시그니쳐 버거,음식이 맛있어요,혼밥하기 좋아요,재료가 신선해요,친절해요,특별한 메뉴가 있어요
심야포차 시실리,이자카야,서울 용산구 한강대로 130-2,사시미스페셜,신선한 육사시미와 다양한 제철 숙성회를 한번에 맛볼 수 있는 시실리 대표메뉴,음식이 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요,대화하기 좋아요
상록수,"육류,고기요리",서울 용산구 청파로51길 4 1층,최루탄돼지찌개,불필요한 지방을 제거한 진또배기 항정살 엑기스! 아삭한 식감이 일품입니다.,음식이 맛있어요,특별한 메뉴가 있어요,친절해요,고기 질이 좋아요,재료가 신선해요
멜팅팟,양식,서울 용산구 한강대로62나길 13 2층,명란라자냐(디너),깊은 풍미의 명란과 버섯 크림소스를 매콤하게 즐길수 있는 라자냐,음식이 맛있어요,특별한 메뉴가 있어요,재료가 신선해요,친절해요,인테리어가 멋져요
만남의광장,포장마차,서울 용산구 이태원로27가길 18 지하 1층,생연어+콘치즈,매일 들여오는 주황빛의 신선한 생연어를 드시기 좋게 손질해드리며 콘치즈와 궁합이 좋습니다,음식이 맛있어요,친절해요,술이 다양해요,가성비가 좋아요,단체모임 하기 좋아요
쇼니노,양식,서울 용산구 한강대로21길 17-18 1층,메뉴판 이미지 참고 부탁드립니다.,,음식이 맛있어요,인테리어가 멋져요,친절해요,특별한 날 가기 좋아요,재료가 신선해요
루,양식,서울 용산구 신흥로11길 50 지하1층 B02호,통밀바게트,,음식이 맛있어요,친절해요,특별한 메뉴가 있어요,건강한 맛이에요,아늑해요
포컬포인트,"카페,디저트",서울 용산구 청파로 387,딸기 요거트 파이,새콤달콤한 요거트 크림 위에 생딸기 가득 올라간 파이,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,음료가 맛있어요
쥬에,중식당,서울 용산구 독서당로 124-7,북경오리 한마리,,음식이 맛있어요,친절해요,특별한 날 가기 좋아요,인테리어가 멋져요,특별한 메뉴가 있어요
코레아노스 키친 녹사평점,"멕시코,남미음식",서울 용산구 녹사평대로40길 46,쓰리와이즈프라이즈 (나초변경가능),"감자튀김에 치킨,갈비,포크 세가지 고기와 세가지 다양한 소스들",음식이 맛있어요,뷰가 좋아요,친절해요,특별한 메뉴가 있어요,재료가 신선해요
시옥 삼각지점,아시아음식,서울 용산구 한강대로62길 16 1층,칠리'CLAP'뼈찜,"칠리크랩소스에 두툼한 살의 등뼈를 사용해 뜯는 재미가 있는 음식(멘보샤,꽃빵,딥핑소스제공)",음식이 맛있어요,현지 맛에 가까워요,친절해요,인테리어가 멋져요,양이 많아요
벽돌해피푸드 한남점,중식당,서울 용산구 이태원로 238 제2호 지하 1층,마라탕면,"돼지 - 18,000 소 - 19,000 양 - 19,000 새우 - 21,000",음식이 맛있어요,특별한 메뉴가 있어요,매장이 넓어요,인테리어가 멋져요,양이 많아요
만천재,"카페,디저트",서울 용산구 청파로 297 DAND 빌딩1층,만천재 가배,연유의 달달함과 녹진한 크림치즈가 올라간 특별한 커피맛의 만천재 또하나의 시그니처,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,친절해요,인테리어가 멋져요
푸른밤 한남 용산 본점,"육류,고기요리",서울 용산구 대사관로34길 13 1층 푸른밤 한남 용산 본점,흑돼지 소금구이(500g),최상급 한우 육회가 들어간 비빔밥,고기 질이 좋아요,음식이 맛있어요,친절해요,인테리어가 멋져요,특별한 메뉴가 있어요
알랭들롱,프랑스음식,서울 용산구 한강대로52길 26 1층 알랭들롱,에스카르고,허브버터로 속을 가득채운 시그니쳐 달팽이요리,음식이 맛있어요,재료가 신선해요,특별한 메뉴가 있어요,인테리어가 멋져요,친절해요
뉴웨이브서울 건대점,양식,서울 광진구 아차산로33길 28-10 뉴웨이브 서울,뉴웨서피자,"오리지널스모크소시지, 페페로니, 베이컨, 옥수수, 토마토소스",음식이 맛있어요,인테리어가 멋져요,친절해요,특별한 메뉴가 있어요,재료가 신선해요
만천재,"카페,디저트",서울 용산구 청파로 297 DAND 빌딩1층,만천재 가배,연유의 달달함과 녹진한 크림치즈가 올라간 특별한 커피맛의 만천재 또하나의 시그니처,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,친절해요,인테리어가 멋져요
푸른밤 한남 용산 본점,"육류,고기요리",서울 용산구 대사관로34길 13 1층 푸른밤 한남 용산 본점,흑돼지 소금구이(500g),최상급 한우 육회가 들어간 비빔밥,고기 질이 좋아요,음식이 맛있어요,친절해요,인테리어가 멋져요,특별한 메뉴가 있어요
알랭들롱,프랑스음식,서울 용산구 한강대로52길 26 1층 알랭들롱,에스카르고,허브버터로 속을 가득채운 시그니쳐 달팽이요리,음식이 맛있어요,재료가 신선해요,특별한 메뉴가 있어요,인테리어가 멋져요,친절해요
푸른밤 한남 용산 본점,"육류,고기요리",서울 용산구 대사관로34길 13 1층 푸른밤 한남 용산 본점,흑돼지 소금구이(500g),최상급 한우 육회가 들어간 비빔밥,고기 질이 좋아요,음식이 맛있어요,친절해요,인테리어가 멋져요,특별한 메뉴가 있어요
알랭들롱,프랑스음식,서울 용산구 한강대로52길 26 1층 알랭들롱,에스카르고,허브버터로 속을 가득채운 시그니쳐 달팽이요리,음식이 맛있어요,재료가 신선해요,특별한 메뉴가 있어요,인테리어가 멋져요,친절해요
