담은갈비 송파잠실점,돼지고기구이,서울 송파구 삼전로 93 태정빌딩,한돈 수제돼지갈비 (250g),담은갈비의 천연과즙 특제양념으로 숙성한 최고 인기 메뉴입니다.,음식이 맛있어요,친절해요,매장이 청결해요,재료가 신선해요,매장이 넓어요
청초수물회 송파점,생선회,서울 송파구 백제고분로21길 38 1층 102호,해전물회 2인,"여러 가지 횟감과 활전복,해삼,멍게,날치알 등 청초수만의 사골육수가 어우러진 특허 메뉴",음식이 맛있어요,재료가 신선해요,매장이 청결해요,특별한 메뉴가 있어요,친절해요
강남면옥 신천점,냉면,"서울 송파구 올림픽로8길 21 1층, 2층",회냉면,,음식이 맛있어요,매장이 넓어요,친절해요,재료가 신선해요,매장이 청결해요
-,-,-,-,-,-,-,-,-,-
배키욘방,일식당,서울 송파구 올림픽로32길 22-23 1층,수제생맥주 2900원 이벤트,베요타 산체스 프리미엄 이베리코 흑돼지덮밥 250g/500g,음식이 맛있어요,특별한 메뉴가 있어요,친절해요,인테리어가 멋져요,재료가 신선해요
다이닝갈비 잠실새내점,"육류,고기요리",서울 송파구 백제고분로7길 32-20 1층,한돈 숯불돼지갈비,72시간 숙성 한돈 돼지갈비(1인분/300g),음식이 맛있어요,고기 질이 좋아요,양이 많아요,인테리어가 멋져요,특별한 메뉴가 있어요
샤오롱바오 잠실새내점,"딤섬,중식만두",서울 송파구 백제고분로7길 16-15 1층,우육면,,음식이 맛있어요,재료가 신선해요,매장이 넓어요,특별한 메뉴가 있어요,양이 많아요
그로어스 잠실석촌호수점,양식,"서울 송파구 석촌호수로 274 1, 2층",밤 프렌치 토스트,"밤으로 만든 크림소스와 바삭한 밤칩, 보늬밤을 곁들인 프레치 토스트",음식이 맛있어요,인테리어가 멋져요,재료가 신선해요,뷰가 좋아요,특별한 메뉴가 있어요
-,-,-,-,-,-,-,-,-,-
단디 잠실본점,덮밥,서울 송파구 백제고분로45길 7,호르몬동,직화 한우 대창 덮밥 (원조),음식이 맛있어요,재료가 신선해요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요
