-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
경주식당 연신내점,한식,"서울 은평구 연서로27길 13-8 1, 2층 경주식당 연신내점",고기 한상 샐러드 파스타 세트,,음식이 맛있어요,인테리어가 멋져요,친절해요,매장이 청결해요,재료가 신선해요
옥탑방,돼지고기구이,서울 은평구 서오릉로 115 1층 옥탑방,청도 미나리삼겹,경북 청도 한재미나리와 국내산 프리미엄 생삼겹에조화,음식이 맛있어요,고기 질이 좋아요,친절해요,직접 잘 구워줘요,특별한 메뉴가 있어요
이피플라츠,양식,서울 은평구 연서로25길 6-7 1층,[브런치메뉴]클래식 프렌치 토스트,직접만든 브리오슈를 오븐에서 한번 더 구워져 겉바속촉이 일품인 클래식 프렌치 토스트,음식이 맛있어요,친절해요,인테리어가 멋져요,특별한 메뉴가 있어요,매장이 청결해요
쿠우쿠우 연신내점,"일식,초밥뷔페",서울 은평구 통일로 856 메트로타워 6층,평일점심,평일 오전 11시부터 퇴장시간 기준 오후 5시까지 이용 가능 시간입니다.,음식이 맛있어요,매장이 넓어요,메뉴 구성이 알차요,가성비가 좋아요,재료가 신선해요
아우성황소곱창,"곱창,막창,양",서울 은평구 연서로29길 14-12 1층,모듬구이,,음식이 맛있어요,고기 질이 좋아요,친절해요,매장이 넓어요,양이 많아요
치즈당 대왕카스테라 연신내점,"카페,디저트",서울 은평구 통일로83길 5-4 1층 치즈당,오리지날 카스텔라,카스텔라 본연의 맛으로 달지 않아 담백하고 깔끔한 맛 어린아이부터 어르신까지 인기최고,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,가성비가 좋아요
제일곱창 연신내직영점,"곱창,막창,양",서울 은평구 연서로29길 20-11 1층 제일곱창,모둠구이600g,곱창+대창+양깃머리 600g,음식이 맛있어요,친절해요,고기 질이 좋아요,직접 잘 구워줘요,매장이 청결해요
핵밥 연신내점,덮밥,서울 은평구 연서로29길 4-1,★ 리뉴얼 돈코츠라멘,,음식이 맛있어요,매장이 넓어요,친절해요,재료가 신선해요,매장이 청결해요
보들이족발,"족발,보쌈",서울 은평구 연서로 230-10 보들이족발,족발 (대) (앞발),족발 (대) (앞발)+부추+김치+양파피클+상추+새우젓+쌈장+마늘+미역국,음식이 맛있어요,양이 많아요,가성비가 좋아요,친절해요,고기 질이 좋아요
훈연가,"육류,고기요리",서울 은평구 연서로29길 17-6 1층,훈연 수비드 삼겹살 160g,[하루 20인분 한정 판매],음식이 맛있어요,친절해요,고기 질이 좋아요,특별한 메뉴가 있어요,인테리어가 멋져요
은평 구름산추어탕,추어탕,서울 은평구 진관2로 15-8 웅신미켈란 1층 120호,구름산추어탕,양구 펀치볼 시래기 + 국내산 남원 미꾸라지 = 구름산추어탕,음식이 맛있어요,재료가 신선해요,친절해요,양이 많아요,매장이 청결해요
도새기식당,돼지고기구이,서울 은평구 갈현로 254-1 1층,오겹+가브리 500g,"100g 당 9,200원",음식이 맛있어요,친절해요,고기 질이 좋아요,재료가 신선해요,직접 잘 구워줘요
