하늘아래작은마을,라이브카페,서울 강북구 삼양로181길 253 우이동미림산장,커피,"아메리카노5,000원 (낮 5시전 4,000원)",음식이 맛있어요,친절해요,오래 머무르기 좋아요,대화하기 좋아요,단체모임 하기 좋아요
짚신매운갈비찜 미아본점,"육류,고기요리",서울 강북구 월계로7나길 30-9 1층,매운돼지갈비찜 (1인분 200g),"부드럽고 고소한 짚신 베스트 메뉴! 1인분 15,000원 (기본 2인분부터 주문 가능)",음식이 맛있어요,친절해요,고기 질이 좋아요,양이 많아요,가성비가 좋아요
원조할매곱창,"곱창,막창,양",서울 강북구 월계로3길 68,곱창전골(비조리)(2인분),,음식이 맛있어요,양이 많아요,가성비가 좋아요,친절해요,특별한 메뉴가 있어요
진순대곰탕,"순대,순댓국",서울 강북구 수유로 71 . 1층,곱창순대국,알곱창+오소리감투+수제순대가 들어간 얼큰한 순대국,음식이 맛있어요,양이 많아요,친절해요,가성비가 좋아요,혼밥하기 좋아요
수유손칼국수,"칼국수,만두",서울 강북구 도봉로101길 45,칼국수,,음식이 맛있어요,친절해요,양이 많아요,재료가 신선해요,가성비가 좋아요
신사랑매운갈비찜 수유본점,한식,서울 강북구 노해로8가길 14,돼지매운갈비찜(1人)+서비스:봉평메밀전35Cm,포장&배달은 메밀전서비스 불가합니다,음식이 맛있어요,친절해요,양이 많아요,재료가 신선해요,가성비가 좋아요
만두향 수유본점,"칼국수,만두",서울 강북구 한천로123길 61,냉동생만두(택배가능),"전화 문의 주시면 친절히 안내 도와 드리겠습니다. ( 폭염 시, 택배가 어렵습니다...)",음식이 맛있어요,친절해요,재료가 신선해요,가성비가 좋아요,특별한 메뉴가 있어요
일미집,"육류,고기요리",서울 강북구 숭인로 65-3,삼겹살(국내산),,음식이 맛있어요,고기 질이 좋아요,친절해요,재료가 신선해요,양이 많아요
우리콩순두부,두부요리,서울 강북구 삼양로173길 46,청국장,,음식이 맛있어요,재료가 신선해요,친절해요,양이 많아요,가성비가 좋아요
호조참치,생선회,서울 강북구 한천로 1062,실장추천,,음식이 맛있어요,재료가 신선해요,친절해요,양이 많아요,특별한 메뉴가 있어요
수유리조트,"카페,디저트",서울 강북구 노해로8가길 45,오리지널크로플,최고급 AOP버터로 구운 크로플과 쫀득한 바닐라 아이스크림의 조합,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,사진이 잘 나와요
상미규카츠 수유본점,일식당,서울 강북구 도봉로87길 32 1층 상미규카츠,규카츠 화로구이 정식,,음식이 맛있어요,친절해요,인테리어가 멋져요,재료가 신선해요,특별한 메뉴가 있어요
느자구,요리주점,서울 강북구 오패산로31길 32 1층 느자구,참나물 봉골레,싱싱한 조개에 참나물페스토를 넣어 봉골레를 향긋하게 만들어 봤습니다.,음식이 맛있어요,특별한 메뉴가 있어요,친절해요,인테리어가 멋져요,술이 다양해요
애슐리퀸즈 미아사거리역점,패밀리레스토랑,서울 강북구 도봉로 52 Y스퀘어 5층,애슐리퀸즈 평일런치,,음식이 맛있어요,매장이 넓어요,가성비가 좋아요,단체모임 하기 좋아요,친절해요
참마음설렁탕 미아사거리본점,한식,서울 강북구 도봉로 45 1층,설렁탕,"진하고 고소한 국물에 고기를 듬뿍 넣은 설렁탕입니다. (밥 한공기, 김치 기본 제공)",음식이 맛있어요,가성비가 좋아요,혼밥하기 좋아요,양이 많아요,친절해요
청담동샤브 에피소드 수유 838점,샤브샤브,서울 강북구 도봉로 315 1층 R107호,관서식스키야키(우삼겹),단짠 육수에 소고기와 채소를 자작하게 끓여 노른자에 찍어먹는 스키야키,음식이 맛있어요,재료가 신선해요,혼밥하기 좋아요,친절해요,매장이 청결해요
수유리우동집 본점,"우동,소바",서울 강북구 덕릉로 94 수유리우동집,수유김밥인기,,음식이 맛있어요,가성비가 좋아요,혼밥하기 좋아요,친절해요,재료가 신선해요
장수마늘보쌈,"족발,보쌈",서울 강북구 한천로 960 1층 장수마늘보쌈,모듬보쌈 소,"장수마늘보쌈, 장수보쌈",음식이 맛있어요,가성비가 좋아요,양이 많아요,고기 질이 좋아요,친절해요
미성반점,중식당,서울 강북구 4.19로 37 1층,숙성 등심 탕수육,소 19.000원 / 중 29.000원 국내산 한돈등신을 큼직하게 썰어 24시간 저온숙성,음식이 맛있어요,재료가 신선해요,친절해요,특별한 메뉴가 있어요,매장이 청결해요
송현초밥,"초밥,롤",서울 강북구 월계로7길 34,모듬초밥,,음식이 맛있어요,재료가 신선해요,가성비가 좋아요,친절해요,혼밥하기 좋아요
조연탄,돼지고기구이,서울 강북구 한천로140길 20,제주먹고기,,음식이 맛있어요,친절해요,특별한 메뉴가 있어요,고기 질이 좋아요,재료가 신선해요
디저트카페낙타,"카페,디저트",서울 강북구 4.19로 53 1층 디저트 카페 낙타,아메리카노,,디저트가 맛있어요,커피가 맛있어요,친절해요,인테리어가 멋져요,매장이 청결해요
원조부안집 미아역점,돼지고기구이,서울 강북구 도봉로 180 1층,[세트메뉴] 원조한판,다양하게 맛볼 수 있는 가성비 인기만점 세트메뉴 원조한판,음식이 맛있어요,고기 질이 좋아요,친절해요,매장이 넓어요,특별한 메뉴가 있어요
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
경성양꼬치 미아삼거리점,양꼬치,서울 강북구 월계로7나길 60,양 꼬치(1인분),신선한 양고기를 숙성후 특제 가루 양념을 뿌린 대표메뉴!!,음식이 맛있어요,친절해요,특별한 메뉴가 있어요,고기 질이 좋아요,가성비가 좋아요
다래함박스텍,돈가스,서울 강북구 수유로 20-2,우므라이스함박,,음식이 맛있어요,가성비가 좋아요,친절해요,양이 많아요,재료가 신선해요
도리연 닭도리탕 미아사거리점,닭볶음탕,서울 강북구 월계로3길 66-9 1층 도리연 닭도리탕,닭도리탕(중)2~3인분,11호 닭 한마리,음식이 맛있어요,양이 많아요,가성비가 좋아요,친절해요,고기 질이 좋아요
리트커피에스프레소,"카페,디저트",서울 강북구 도봉로13가길 9-2 1층,리트커피 에스프레소 피에노,부드러운 크림과 초콜릿 파우더가 올라간 에스프레소,커피가 맛있어요,친절해요,디저트가 맛있어요,음료가 맛있어요,특별한 메뉴가 있어요
오늘통닭 수유본점,"치킨,닭강정",서울 강북구 도봉로 384 오늘통닭 수유본점,오늘통닭1977(M(반마리)),47년 전통 할머니의 고집스러운 레시피,음식이 맛있어요,매장이 넓어요,친절해요,가성비가 좋아요,재료가 신선해요
데어유고,카페,서울 강북구 오현로6길 77 1층 데어유고,FILTER,변동,커피가 맛있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요,매장이 청결해요
소담촌 미아사거리점,샤브샤브,서울 강북구 월계로 3 덕신빌딩 5층,월남쌈샤브정식(평일점심),,음식이 맛있어요,재료가 신선해요,가성비가 좋아요,매장이 넓어요,양이 많아요
시래기화덕생선구이,국밥,서울 강북구 4.19로 61-1 1층,다금바리구이 가마솥밥,,음식이 맛있어요,가성비가 좋아요,재료가 신선해요,양이 많아요,특별한 메뉴가 있어요
광안대교 수유점,"맥주,호프",서울 강북구 한천로139길 42 영남빌딩 103호,광안리 백골뱅이탕,맛있는 돼지갈비를 튀겨낸 말이 필요 없는 메뉴,음식이 맛있어요,인테리어가 멋져요,술이 다양해요,음악이 좋아요,기본 안주가 좋아요
삼각산숯불생고기,"육류,고기요리",서울 강북구 삼양로163길 8,양념갈비,국내산 최상급 돼지 갈비와 삼각산 비법 양념이 어우러진 대표 메뉴입니다,음식이 맛있어요,고기 질이 좋아요,친절해요,매장이 청결해요,인테리어가 멋져요
카페멘디,브런치,서울 강북구 4.19로8길 7-2,올데이 시즌 브런치,,음식이 맛있어요,인테리어가 멋져요,매장이 넓어요,뷰가 좋아요,매장이 청결해요
파골집,"순대,순댓국",서울 강북구 도봉로 45,순대국밥,수육+막창순대+당면순대,음식이 맛있어요,친절해요,양이 많아요,매장이 넓어요,혼밥하기 좋아요
라온김밥,종합분식,서울 강북구 오현로32길 4-8,곤약물냉면,살얼음 동치미육수에 닭가슴살을 넣어 한여름 더워를 잊게하는음식,음식이 맛있어요,재료가 신선해요,친절해요,특별한 메뉴가 있어요,혼밥하기 좋아요
삼덕식당 미아사거리점,"육류,고기요리",서울 강북구 월계로7나길 29 1층,마늘갈비한판(800g),맛있는 소갈비 위에 듬뿍올라간 마늘,음식이 맛있어요,고기 질이 좋아요,친절해요,매장이 넓어요,양이 많아요
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
금잔화,요리주점,서울 강북구 월계로7길 43 1층,아롱사태 모둠 전골,장시간 삶아 부드러운 아롱사태 고기와 갖은 야채를 넣어 깔끔시원한 채수가 매력적인 전골,음식이 맛있어요,술이 다양해요,인테리어가 멋져요,특별한 메뉴가 있어요,대화하기 좋아요
분코 수유점,이자카야,서울 강북구 도봉로87길 34-4 2층 분코,대표메뉴 세트대표,사시미+멘치까스+게내장파스타+후토마끼+짬뽕,음식이 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요,대화하기 좋아요
소담촌 수유점,샤브샤브,서울 강북구 도봉로 388 테마빌딩 8층,월남쌈 샤브(평일점심),,음식이 맛있어요,재료가 신선해요,가성비가 좋아요,매장이 넓어요,양이 많아요
우선도,한식,서울 강북구 노해로8가길 28 1~2층,우선도 A세트,한우뭉티기+한우차돌박이+한우채끝+한우숙성육사시미+한우육회+참다랑어뱃살+간장새우,음식이 맛있어요,재료가 신선해요,친절해요,특별한 메뉴가 있어요,매장이 청결해요
서당골 수유본점,한식,서울 강북구 한천로 1153,시래기코다리 정식,"시래기 코다리가 어울러진 매콤한맛의 코다리정식(가마솥밥 2,000원 추가)",음식이 맛있어요,재료가 신선해요,친절해요,매장이 청결해요,매장이 넓어요
서로해물,생선회,서울 강북구 한천로143길 24 1층 서로해물,모듬해물,"광어,방어,연어,가리비회,참소라,문어,멍게,전복,석화,아귀간",음식이 맛있어요,재료가 신선해요,특별한 메뉴가 있어요,인테리어가 멋져요,친절해요
이설함흥냉면 수유본점,냉면,서울 강북구 4.19로 42 이설함흥냉면,회냉면,"쫄깃쫄깃 새콤,달콤 회냉면[강추]",음식이 맛있어요,매장이 넓어요,친절해요,재료가 신선해요,주차하기 편해요
춘천막국수,막국수,서울 강북구 삼양로141길 4-4 춘천막국수,비빔막국수,,음식이 맛있어요,재료가 신선해요,친절해요,가성비가 좋아요,양이 많아요
히솝,요리주점,서울 강북구 도봉로10가길 16-4 1층,PHO사태전골,"사태수육과 사골육수, 쌀국수육수로 한국적인 맛을 잘 살려낸 매운 수육전골",음식이 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,친절해요,대화하기 좋아요
컴 폴 커피,"카페,디저트",서울 강북구 덕릉로 130 1층 컴 폴 커피,컴 폴 크림 라테,피넛버터가 더해진 수제크림과 그 위에 스웨덴 브라운 치즈,커피가 맛있어요,인테리어가 멋져요,친절해요,디저트가 맛있어요,음료가 맛있어요
벼랑순대국 본점,"순대,순댓국",서울 강북구 한천로 924,[특]순대국,,음식이 맛있어요,양이 많아요,가성비가 좋아요,친절해요,혼밥하기 좋아요
여러분평양냉면,냉면,서울 강북구 한천로 1074 1층 여러분평양냉면,평양 메밀냉면 (물/비빔),,음식이 맛있어요,친절해요,재료가 신선해요,매장이 청결해요,가성비가 좋아요
-,-,-,-,-,-,-,-,-,-
불완전,이자카야,서울 강북구 노해로14길 7 1층,오늘의 사시미,매일 여러 종류의 생선을 숙성 후 준비합니다 제철 생선이나 구성은 수시로 변경됩니다,음식이 맛있어요,인테리어가 멋져요,기본 안주가 좋아요,친절해요,특별한 메뉴가 있어요
육육곱창 수유점,"곱창,막창,양",서울 강북구 도봉로87길 40 103호,66치즈곱창(기본2인분 주문가능),66곱창에서만 맛 볼수 있는 치즈곱창! 중독적인 양념과 고소한 치즈의 풍미!,음식이 맛있어요,양이 많아요,친절해요,가성비가 좋아요,고기 질이 좋아요
파도포차 수유조개,조개요리,서울 강북구 도봉로87길 32-4 1층 파도포차,[오픈 5주년 이벤트]조갈찜 1인,이벤트 2인 부터 주문가능,음식이 맛있어요,친절해요,인테리어가 멋져요,재료가 신선해요,양이 많아요
수유감자탕,감자탕,서울 강북구 수유로 82 1층,원조감자탕소,,음식이 맛있어요,친절해요,가성비가 좋아요,양이 많아요,재료가 신선해요
언유주얼.,"카페,디저트","서울 강북구 한천로132길 66 1층 101,102호",스누즈 피스타치오 라떼,아몬드로 블렌딩한 우유에 에스프레소를 올리고 진한 피스타치오 크림으로 마무리한 크림라떼,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,인테리어가 멋져요,친절해요
온,한식,서울 강북구 오패산로77길 7 1층,제육볶음+청국장,(꽁치or돼지 선택),음식이 맛있어요,재료가 신선해요,친절해요,양이 많아요,가성비가 좋아요
엄마손 돼지불백 수유본점,"육류,고기요리",서울 강북구 한천로 1138,뭏/비빔 냉면,,음식이 맛있어요,가성비가 좋아요,양이 많아요,친절해요,혼밥하기 좋아요
수유갈비산성골,"육류,고기요리",서울 강북구 덕릉로 126 1층 산성골,345양념돼지갈비(300g),'붙이지 않은 진짜 돼지갈비'를 판매하는 수유 돼지갈비 맛집 산성골입니다. 돼지갈비의 경우 구워서 제공하기 때문에 편안하게 즐기시면 됩니다^^,음식이 맛있어요,매장이 넓어요,고기 질이 좋아요,친절해요,단체모임 하기 좋아요
132HAUS,"카페,디저트",서울 강북구 도봉로101길 17 2층,시즌 푸딩,SODA,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,친절해요,사진이 잘 나와요
동네함박,양식,서울 강북구 도봉로15길 11 2층,함박스테이크,,음식이 맛있어요,매장이 청결해요,친절해요,재료가 신선해요,혼밥하기 좋아요
백로참숯구이,"육류,고기요리",서울 강북구 한천로140길 11-10 1층 백로참숯구이,백로세트A,안창살200+갈비살200+양지담북장 합리적가격의 극가성비구성,음식이 맛있어요,고기 질이 좋아요,친절해요,특별한 메뉴가 있어요,매장이 청결해요
56st 미아사거리점,요리주점,서울 강북구 월계로7나길 31 1층,매운갈비찜,맛있는 로제소스,음식이 맛있어요,가성비가 좋아요,술이 다양해요,인테리어가 멋져요,친절해요
준참치,생선회,서울 강북구 도봉로50길 8 준참치,준참치 70,가격은 부위 차이입니다.,음식이 맛있어요,재료가 신선해요,친절해요,양이 많아요,가성비가 좋아요
숯불왕갈비,한식,서울 강북구 덕릉로 79,왕갈비 400g,2인이상 주문,음식이 맛있어요,가성비가 좋아요,친절해요,양이 많아요,재료가 신선해요
멜라흐,"카페,디저트",서울 강북구 오현로 21 1층,멜라흐크림라떼,,커피가 맛있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요,음료가 맛있어요
