스윗디디,"카페,디저트",서울 양천구 목동중앙남로14길 14 1층,소금빵,,디저트가 맛있어요,친절해요,커피가 맛있어요,특별한 메뉴가 있어요,음료가 맛있어요
망원 지튼,"카페,디저트",서울 마포구 망원로 73 2층 ZTTN,Tart,계절에 따라 다양한 커피를 드실 수 있습니다,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,대화하기 좋아요
일편등심 홍대본점,"육류,고기요리","서울 마포구 홍익로6길 52 2, 3층 일편등심",한우케이크(한정판매)/전화예약해주세요,"총840g,예약구매만 가능하지만 없어서 못 먹는 일편등심 케이크(생일•기념일에 적극 추천)",음식이 맛있어요,고기 질이 좋아요,친절해요,직접 잘 구워줘요,인테리어가 멋져요
홍담,요리주점,서울 마포구 와우산로29길 26-10 지하1층,K동파수육,특제마늘소스를 얹어서 청경채와 쌈싸먹는 동파수육,음식이 맛있어요,술이 다양해요,인테리어가 멋져요,기본 안주가 좋아요,친절해요
풀리너마이트 홍대,햄버거,서울 마포구 홍익로 13-4 풀리너마이트,핫더블치킨 버거매운맛3단계N,매콤 3단계 ! 매운 소스와 더블 치킨패티의 조합 ! 양이 많아 꾸우욱~~ 눌러서 드세요 !,음식이 맛있어요,재료가 신선해요,인테리어가 멋져요,친절해요,매장이 청결해요
독타운피자,피자,서울 마포구 양화로6길 48 2층,하프앤하프 피자,두가지 맛을 한번에 즐길수 있는 피자.,음식이 맛있어요,친절해요,인테리어가 멋져요,재료가 신선해요,특별한 메뉴가 있어요
후쿠란 상수본점,이자카야,"서울 마포구 와우산로3안길 2 1층, 2층 후쿠란",오늘의제철사시미,산지에서 공수한 신선한 제철 생선들을 후쿠란만의 특별한 방식으로 숙성한 감칠맛 폭발사시미,음식이 맛있어요,재료가 신선해요,친절해요,인테리어가 멋져요,특별한 메뉴가 있어요
홍대펀치감자탕닭한마리,한식,서울 마포구 독막로7길 62 1층,해남 우거지 감자탕,해풍맞고 자란 맛있는 해남 우거지와 진한 돈사골 감자탕이 만나 진하고 시원한 맛.,음식이 맛있어요,양이 많아요,매장이 넓어요,인테리어가 멋져요,재료가 신선해요
이억만껍데기,"육류,고기요리",서울 마포구 동교로 255,삼겹살,,음식이 맛있어요,가성비가 좋아요,고기 질이 좋아요,친절해요,양이 많아요
저스트텐동 연남본점,일식당,서울 마포구 동교로46길 3,저스트텐동,"새우2, 단호박, 아스파라거스 햄말이, 두부, 깻잎, 느타리, 꽈리고추, 김, 수란",음식이 맛있어요,재료가 신선해요,양이 많아요,친절해요,혼밥하기 좋아요
-,-,-,-,-,-,-,-,-,-
히사시돈부리,덮밥,서울 마포구 동교로38길 33-16 1층,"소다(메론,딸기,포도,망고,파파야)",바닐라 아이스크림이 올라간 5가지맛 히사시소다입니다람쥐,음식이 맛있어요,인테리어가 멋져요,재료가 신선해요,친절해요,특별한 메뉴가 있어요
무쇠뚜껑,"육류,고기요리",서울 마포구 독막로 311 재화스퀘어 지하 1층 육미전복,제주 흑돼지 생오겹,제주보다 맛있는 제주흑돼지 생오겹과 국내산 숙성김치를 무쇠뚜껑에 구워먹는 대표메뉴,음식이 맛있어요,친절해요,양이 많아요,고기 질이 좋아요,가성비가 좋아요
-,-,-,-,-,-,-,-,-,-
이가네양꼬치 합정점,양꼬치,"서울 마포구 월드컵로1길 14 B118-1호, 2호",양왕갈비(250g),비법소스로 숙성된 부드러운 양갈비입니다..어디서도 맛보지못한 양갈비 끝판왕~^^,음식이 맛있어요,고기 질이 좋아요,매장이 넓어요,특별한 메뉴가 있어요,재료가 신선해요
연남동 베르데,"멕시코,남미음식",서울 마포구 동교로 262-6 1층,베르데 파히타 립,"베르데의 모든 고기와 소스, 데낄라 베이스의 매콤달콤한 폭립까지 맛볼 수 있는 베르데의 대표메뉴",음식이 맛있어요,친절해요,특별한 메뉴가 있어요,재료가 신선해요,양이 많아요
옥소반 상암점,샤브샤브,서울 마포구 매봉산로 80 PARKM빌딩 1층 9호,런치-샤브샤브A세트(미국산전각),소고기(80g) +야채무한리필+후식,음식이 맛있어요,재료가 신선해요,친절해요,양이 많아요,매장이 청결해요
서관면옥 홍대점,냉면,서울 마포구 월드컵북로5길 41 106호~107호,평양냉면(구수한물냉면),제주메밀 100% 서관면옥 오리지널 물냉면,음식이 맛있어요,재료가 신선해요,인테리어가 멋져요,매장이 넓어요,친절해요
쭈꾸미블루스 신촌본점,주꾸미요리,서울 마포구 백범로1길 21,신촌 쭈꾸미,매운쭈꾸미1인 +계란찜+무한리필 홍합탕 매운데 계속들어가는 환장할 중독성입니다,음식이 맛있어요,친절해요,인테리어가 멋져요,재료가 신선해요,양이 많아요
마파멘야,일식당,서울 마포구 망원로 70 1층 마파멘야,마파멘,,음식이 맛있어요,특별한 메뉴가 있어요,혼밥하기 좋아요,양이 많아요,재료가 신선해요
연교,"딤섬,중식만두",서울 마포구 연희로1길 65 1층,성쟁바오,,음식이 맛있어요,특별한 메뉴가 있어요,가성비가 좋아요,재료가 신선해요,친절해요
아우룸,이탈리아음식,서울 마포구 월드컵로5길 33-26 1층,탈리아텔레 치즈 휠 파스타,홈메이드 토마토 소스와 생면을 사용한 라자냐,음식이 맛있어요,특별한 메뉴가 있어요,친절해요,인테리어가 멋져요,재료가 신선해요
-,-,-,-,-,-,-,-,-,-
쿠바포차 하바나24시,포장마차,서울 마포구 월드컵로1길 11 2층,문어바지락 매운고추볶음,,음식이 맛있어요,특별한 메뉴가 있어요,술이 다양해요,인테리어가 멋져요,음악이 좋아요
숙련도,"육류,고기요리",서울 마포구 도화길 49 숙련도,제주숙성오겹살,,음식이 맛있어요,친절해요,고기 질이 좋아요,특별한 메뉴가 있어요,재료가 신선해요
마포랭삼 마포공덕점,한식,서울 마포구 도화4길 5,냉동삼겹살,여름 한정 특선 메뉴,음식이 맛있어요,친절해요,재료가 신선해요,양이 많아요,특별한 메뉴가 있어요
투떰즈업,베이커리,서울 마포구 월드컵로19길 71,밤모스,,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,디저트가 맛있어요
라헬의부엌 연남점,"카페,디저트",서울 마포구 동교로38길 5 1층,무화과아이스크링파르페,생망고스무디입니다,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,특별한 메뉴가 있어요
오시 망원본점,일식당,서울 마포구 월드컵로17길 48 지 1층 오시 망원본점,오시 모단야끼대표,볶은 야끼소바와 갖은 재료를 한가득 올려 구운 오꼬노미야끼,음식이 맛있어요,인테리어가 멋져요,친절해요,재료가 신선해요,특별한 메뉴가 있어요
도깨비파티하우스,"맥주,호프",서울 마포구 와우산로17길 22 1F,Weekday Event Bottle,Fireball,술이 다양해요,음식이 맛있어요,음악이 좋아요,인테리어가 멋져요,친절해요
온타이키친,태국음식,서울 마포구 월드컵북로54길 17 지1층 126호,뿌님 팟 퐁커리매운맛1단계대표,부드러운 소프트쉘크랲 튀김 위에 옐로우커리소스를 곁들인 요리,음식이 맛있어요,재료가 신선해요,친절해요,가성비가 좋아요,아늑해요
-,-,-,-,-,-,-,-,-,-
마포곱창타운 연남점,"곱창,막창,양",서울 마포구 동교로27길 20,황소곱창구이(한우곱창),황소곱창모듬(곱창+대창+염통),음식이 맛있어요,친절해요,양이 많아요,재료가 신선해요,고기 질이 좋아요
쟁반집8292 홍대점,"육류,고기요리",서울 마포구 와우산로29길 66,돈쟁반,"삼겹살과 목살, 항정살, 특수부위까지 모두 드실 수 있는 실속 메뉴 (600g)",음식이 맛있어요,가성비가 좋아요,친절해요,고기 질이 좋아요,반찬이 잘 나와요
오마 연남,이탈리아음식,서울 마포구 성미산로 192 2F 오마,트러플 크림 파스타,오마의 시그니쳐 오픈부터 지금까지 이어온 대표 파스타 !,음식이 맛있어요,친절해요,인테리어가 멋져요,특별한 날 가기 좋아요,특별한 메뉴가 있어요
문득 연남점,양식,서울 마포구 동교로 257 1층 문득,매콤토마토 돈마호크 커틀렛,"뼈등심으로 직접 만든 커틀렛에 매콤한 토마토소스와 눈꽃치즈, 야채가니쉬가 올라간 대표 메뉴",음식이 맛있어요,인테리어가 멋져요,친절해요,특별한 메뉴가 있어요,양이 많아요
옥동식,국밥,서울 마포구 양화로7길 44-10,김치만두,옥동식의 김치로 만든 매콤한 맛의 김치만두,음식이 맛있어요,혼밥하기 좋아요,특별한 메뉴가 있어요,재료가 신선해요,친절해요
청년닭발1987 홍대점,닭발,서울 마포구 동교로 218-1 1층,꼬치오뎅닭발,"매콤한 닭발에 사골육수 오뎅탕, 닭껍질튀김까지!",음식이 맛있어요,특별한 메뉴가 있어요,친절해요,양이 많아요,인테리어가 멋져요
뉴욕아파트먼트,양식,서울 마포구 월드컵로3길 14 마포한강2차푸르지오상가 217호,뉴욕스테이크버거,5시간 훈제한 목살을 숯불에 구워은 후 바베큐소스가 올라가는 뉴욕아파트먼트의 대표적인 홍대수제버거,음식이 맛있어요,인테리어가 멋져요,친절해요,특별한 메뉴가 있어요,재료가 신선해요
뚜띠쿠치나 마포공덕점,이탈리아음식,서울 마포구 마포대로12길 58 1층~2층 뚜띠쿠치나공덕,이태리 가정식 토마토N,"모둠버섯, 지중해 야채(가지,호박,피망),올리브",음식이 맛있어요,친절해요,재료가 신선해요,가성비가 좋아요,양이 많아요
곤로 야끼니꾸,일식당,서울 마포구 동교로39길 9 1층 곤로 야끼니꾸,[곤:로]모듬스페셜(2인세트),살치살+등심+갈비살+안창살(중 선별하여 제공)+한우차돌박이+육회+각종야채+구워먹는치즈,음식이 맛있어요,재료가 신선해요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요
강동원,중식당,서울 마포구 망원로 3 1층,간짜장,,음식이 맛있어요,특별한 메뉴가 있어요,재료가 신선해요,양이 많아요,친절해요
심원,일식당,서울 마포구 성미산로29안길 19-7 2층,바다장어덮밥대표,바다장어 140g,음식이 맛있어요,재료가 신선해요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요
듀몽드,"카페,디저트",서울 마포구 어울마당로 94-14 1층 Dieu Monde,[홀케이크]생크림 딸기 케이크,달콤 상큼한 제철 딸기와 고급원유 동물성 우유 생크림으로 만든 프리미엄 딸기 케이크,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,인테리어가 멋져요,친절해요
라 룬 비올렛 홍대본점,양식,서울 마포구 월드컵북로4길 25 1층,런치코스(1인),"아뮤즈부쉬, 계절샐러드, 메인1인1, 디저트까지! 프렌치 코스를 다양하게 즐기는 런치코스",음식이 맛있어요,친절해요,특별한 메뉴가 있어요,가성비가 좋아요,특별한 날 가기 좋아요
육몽 홍대본점,"육류,고기요리",서울 마포구 양화로16길 19 1-3층,한돈 고기모둠,한돈 칼삼겹 150g + 한돈 통목살 300g + 한돈 갈매기살150g + 일품 된장찌게,음식이 맛있어요,고기 질이 좋아요,친절해요,양이 많아요,직접 잘 구워줘요
-,-,-,-,-,-,-,-,-,-
을밀대 평양냉면,냉면,서울 마포구 숭문길 24,물냉면,,음식이 맛있어요,특별한 메뉴가 있어요,양이 많아요,재료가 신선해요,친절해요
풍류각,"육류,고기요리",서울 마포구 월드컵로 33 1층,투뿔한우모듬,드라이에이징한 한우 짝갈비를 매일 직접 정형하여 내어드립니다,음식이 맛있어요,고기 질이 좋아요,친절해요,매장이 넓어요,인테리어가 멋져요
오레노라멘 본점,일본식라면,서울 마포구 독막로6길 14,토리빠이탄 라멘,닭으로만든진하고고소한라멘,음식이 맛있어요,친절해요,양이 많아요,특별한 메뉴가 있어요,혼밥하기 좋아요
경양식당,돈가스,서울 마포구 월드컵북로54길 17 지하1층 124호 경양식당,경양식돈까스대표,정말 말이 필요없는 경양식돈까스 !! 상암에서 제일 유명한 이유가 있습니다 ㅎㅎ,음식이 맛있어요,양이 많아요,재료가 신선해요,가성비가 좋아요,친절해요
치플레,베이커리,서울 마포구 동교로 262-9 1층,미니 수플레치즈케이크 4개입,원하시는대로 자유롭게 맛 선택 가능합니다.,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,인테리어가 멋져요
스시앤,"초밥,롤",서울 마포구 동교로 148 1층,오늘의초밥,"모듬초밥11P, 반우동, 감자고로케",음식이 맛있어요,재료가 신선해요,가성비가 좋아요,친절해요,양이 많아요
우와,일식당,서울 마포구 와우산로21길 21-16 2층,토마토 돼지고기 오코노미야끼,,음식이 맛있어요,특별한 메뉴가 있어요,친절해요,재료가 신선해요,인테리어가 멋져요
왓에버타코,"멕시코,남미음식",서울 마포구 연희로1길 51 1층 102호,비리아 타코,6시간동안 12종의 멕시코 고추와 향신료 소고기를 함께 끓여낸 비리아 타코,음식이 맛있어요,재료가 신선해요,인테리어가 멋져요,특별한 메뉴가 있어요,혼밥하기 좋아요
청기와타운 홍대점,"육류,고기요리",서울 마포구 양화로 128 1층,수원왕갈비,2인분씩 주문 가능합니다,음식이 맛있어요,친절해요,고기 질이 좋아요,단체모임 하기 좋아요,특별한 메뉴가 있어요
화설 연남본점,소고기구이,서울 마포구 성미산로 188 1층,화설 소모둠세트,꽃살 갈비살 등심을 한번에 즐기실수있는 모둠세트입니다.일품된장찌개가 서비스됩니다.,음식이 맛있어요,고기 질이 좋아요,친절해요,인테리어가 멋져요,특별한 메뉴가 있어요
-,-,-,-,-,-,-,-,-,-
아오이토리,베이커리,서울 마포구 와우산로29길 8 K.C빌딩,야키소바빵,,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,가성비가 좋아요,매장이 청결해요
수지앤파스타,"스파게티,파스타전문",서울 마포구 독막로15길 3-18,비스큐로제,,음식이 맛있어요,친절해요,재료가 신선해요,매장이 청결해요,인테리어가 멋져요
망원동즉석우동 본점,"우동,소바",서울 마포구 동교로 83,돈까스,,음식이 맛있어요,가성비가 좋아요,양이 많아요,친절해요,혼밥하기 좋아요
츄라우미 상암점,이자카야,서울 마포구 월드컵북로44길 76-11,스페셜세이로무시,"편백나무향을 고스란히 즐길 수 있는 해산물과 한우등심, 이베리코 목살, 차돌박이로 구성된 담백한 건강요리",음식이 맛있어요,술이 다양해요,인테리어가 멋져요,특별한 메뉴가 있어요,친절해요
코코로카라,베이커리,서울 마포구 연남로1길 41,미쯔말차 푸딩,"묵직한듯 크리미한 말차크림과 쌉쌀한 맛의 블랙쿠키, 다크 & 화이트초콜릿 조합의 말차푸딩",특별한 메뉴가 있어요,빵이 맛있어요,친절해요,인테리어가 멋져요,커피가 맛있어요
홍대공감,이자카야,서울 마포구 와우산로17길 10 2F,명란계란말이,구운 명란과 타르타르와 함께 먹는 계란말이,음식이 맛있어요,대화하기 좋아요,인테리어가 멋져요,술이 다양해요,기본 안주가 좋아요
구퉁이 상암점,"육류,고기요리",서울 마포구 월드컵북로44길 61 1층,소꽃갈비한판 600g,Cab등급의 꽃갈비살을 숯불에 올려 촉촉할때 드시면 best!!,음식이 맛있어요,고기 질이 좋아요,친절해요,가성비가 좋아요,매장이 청결해요
꽃피는고기,"육류,고기요리",서울 마포구 와우산로13길 49-3 1층,꽃삼겹(180g)대표,,음식이 맛있어요,고기 질이 좋아요,친절해요,매장이 넓어요,양이 많아요
-,-,-,-,-,-,-,-,-,-
연남동와이탑,양식,"서울 마포구 성미산로 163 2층, 3층",비프웰링턴(한정수량-25분소요),소고기를 페스츄리생지에 말아 오븐에 구운 음식. (살짝 매콤한 트러플향 소스),음식이 맛있어요,인테리어가 멋져요,친절해요,특별한 메뉴가 있어요,재료가 신선해요
소이연남,태국음식,서울 마포구 동교로 267 1층,소고기 쌀국수(기본),두껍고 큼직한 소고기 4덩어리가 들어간 쌀국수,음식이 맛있어요,친절해요,특별한 메뉴가 있어요,재료가 신선해요,양이 많아요
토끼다이닝,요리주점,서울 마포구 독막로5길 5 2층,하이볼 3+1 EVENT,하이볼 15종 전체 3+1 이벤트 중입니다,음식이 맛있어요,인테리어가 멋져요,기본 안주가 좋아요,술이 다양해요,친절해요
피오니,케이크전문,서울 마포구 독막로7길 51,딸기생크림케이크 조각,(지름 약12cm),디저트가 맛있어요,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,음료가 맛있어요
창돈,"육류,고기요리",서울 마포구 신촌로 60 1층,창돈살,창돈만의 시그니쳐메뉴,음식이 맛있어요,고기 질이 좋아요,직접 잘 구워줘요,특별한 메뉴가 있어요,친절해요
우담가&해담가,한식,서울 마포구 양화로 45 메세나폴리스 1층 101호,"상견례예약시셋팅무료,우담가3-5성",예약시 상견례 추천 메뉴를 신청하시면 상견례 셋팅을 무료로 제공 합니다. 우담가3~5성,음식이 맛있어요,단체모임 하기 좋아요,친절해요,재료가 신선해요,매장이 넓어요
