시티갤러리카페 본점,브런치카페,서울 강남구 역삼로7길 22,토피넛라떼N,,커피가 맛있어요,대화하기 좋아요,인테리어가 멋져요,음료가 맛있어요,친절해요
경성미술관,테마카페,서울 강남구 도산대로15길 32 B1,평일 1인 드로잉 이용권,무제한의 이용 시간과 그림을 그릴 수 있는 미술 재료 일체가 제공되는 상품입니다.,인테리어가 멋져요,친절해요,사진이 잘 나와요,집중하기 좋아요,매장이 청결해요
노커피 서울,"카페,디저트",서울 강남구 압구정로20길 19 1층,블랙라떼,에스프레소에 차콜 파우더를 더해 우유와 함께 아름다운 층을 만들어내는 라떼,커피가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,매장이 청결해요,사진이 잘 나와요
골드참치,생선회,서울 강남구 압구정로10길 11 2층,오마카세 스페셜,최고의 맛을 선보입니다. 진맛이 나는 가맛살이 주력으로 구성됩니다.,음식이 맛있어요,재료가 신선해요,친절해요,메뉴 구성이 알차요,코스요리가 알차요
-,-,-,-,-,-,-,-,-,-
정월,"카페,디저트",서울 강남구 강남대로102길 46 1층,아인슈패너(water/milk),모든 에스프레소 메뉴 원두 선택 가능(레드-산미/옐로우-고소함/디카페인),커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,디저트가 맛있어요,대화하기 좋아요
Workshop by 배스킨라빈스,아이스크림,서울 강남구 논현로 201 1층,,,특별한 메뉴가 있어요,디저트가 맛있어요,인테리어가 멋져요,매장이 넓어요,매장이 청결해요
헤이티 압구정점,차,서울 강남구 언주로168길 40 1층,그레이프 붐,,음료가 맛있어요,차가 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요
SADDLER HAUS,와플,서울 강남구 도산대로17길 10 B1 새들러하우스,플레인세트,가장 잘나가는 플레인으로만 구성되어 할인된 세트! 원하는 맛으로 변경 가능합니다,디저트가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,커피가 맛있어요,친절해요
달마시안 압구정점,양식,서울 강남구 압구정로42길 42,[브런치]크런치 프렌치 토스트,,인테리어가 멋져요,음식이 맛있어요,특별한 메뉴가 있어요,뷰가 좋아요,친절해요
빠니드 엠 무니,"카페,디저트",서울 강남구 압구정로56길 16,에스프레소,,인테리어가 멋져요,디저트가 맛있어요,사진이 잘 나와요,커피가 맛있어요,특별한 메뉴가 있어요
자연도소금빵in 도산,베이커리,서울 강남구 도산대로49길 41 1층,자연도소금빵,,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,인테리어가 멋져요,매장이 청결해요
이치서울,"카페,디저트",서울 강남구 강남대로158길 21 2층,쑥 무화과 케이크,"소금, 흑임자 그리고 쑥 맛의 크림 모카 번",디저트가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,음료가 맛있어요,인테리어가 멋져요
프라텔리,"카페,디저트",서울 강남구 봉은사로4길 31,프렌치 토스트,크림브륄레와 같은 식감과 부들부들 푸딩과 같은 식감의 프라텔리 토스트,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,대화하기 좋아요
트리오드,"카페,디저트",서울 강남구 강남대로94길 28 유니언타운 L층,블루베리 케익그람,달콤한 블루베리쨈과 부드러운 블루베리 무스와 촉촉한 시트가 어우러진 산뜻한 케이크,디저트가 맛있어요,커피가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,매장이 청결해요
런던베이글뮤지엄 도산점,베이커리,"서울 강남구 언주로168길 33 1, 2층",플레인 베이글,,빵이 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,종류가 다양해요,친절해요
미뉴트 빠삐용 청담점,"카페,디저트",서울 강남구 도산대로51길 37 지하1층,딥초코 츄러스인기대표,,디저트가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,친절해요,커피가 맛있어요
팀홀튼 신논현역점,카페,서울 강남구 강남대로 476 1층 팀홀튼 신논현역점,콜드브루 메이플 라떼,16시간의 시간동안 찬물에 추출한 커피와 메이플 시럽이 추가되어 달콤한 맛의 콜드브루,커피가 맛있어요,디저트가 맛있어요,특별한 메뉴가 있어요,음료가 맛있어요,인테리어가 멋져요
썸띵어바웃커피,"카페,디저트","서울 강남구 강남대로102길 30 1, 2, 3층",아메리카노,,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,대화하기 좋아요
플르서라구뜨,브런치,서울 강남구 압구정로46길 23 1층 Fleurs sur la route 플르서라구뜨,베이컨 크림 리가토니,"3가지이상의 치즈 와 라구뜨만의 크림, 각종야채와 베이컨이 들어간 인상적인 식감의 리가토니",음식이 맛있어요,인테리어가 멋져요,친절해요,특별한 메뉴가 있어요,특별한 날 가기 좋아요
알베르,카페,서울 강남구 강남대로102길 34,알베르 시그니쳐 라떼,부드러운 아이스크림이 올라간 시그니쳐 라떼,커피가 맛있어요,인테리어가 멋져요,대화하기 좋아요,디저트가 맛있어요,뷰가 좋아요
벙커컴퍼니 압구정점,"카페,디저트","서울 강남구 언주로167길 23 1,2층",에스프레소,,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요
카페 그라시아스 아라비다 수서역점,카페,"서울 강남구 광평로 280 지하2층, 131~132호",빅사이즈 아이스 라떼인기N,,커피가 맛있어요,가성비가 좋아요,친절해요,음료가 맛있어요,매장이 청결해요
미니말레 커피뢰스터 역삼점,"카페,디저트",서울 강남구 테헤란로25길 26 1층,수제 뉴욕 쿠키 (제주 말차 가나슈)N,"제주산 말차가루와 발로나 코코아파우더로 만든 쿠키에, 화이트초콜릿과 말차가루로 직접 만든 가나슈가 가득한 말차 쿠키",커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,인테리어가 멋져요,친절해요
마일스톤 커피,카페,서울 강남구 논현로159길 49,플랫화이트,,커피가 맛있어요,친절해요,디저트가 맛있어요,음료가 맛있어요,인테리어가 멋져요
어글리퍼피 압구정 도산점,"카페,디저트",서울 강남구 언주로170길 26-6 1층,망고 타르트인기N,,디저트가 맛있어요,인테리어가 멋져요,커피가 맛있어요,음료가 맛있어요,특별한 메뉴가 있어요
테라로사 포스코센터점,카페,서울 강남구 테헤란로 440 포스코센터 1층,아메리카노 HOT,,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,대화하기 좋아요,매장이 청결해요
삐아프,초콜릿전문점,서울 강남구 논현로175길 109 1층,봉봉 15구 세트,감자 플레이크의 바삭 짭조름함과 어우러진 프랑스산 최상급 초콜릿의 달콤한 부드러움.,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,선물하기 좋아요,매장이 청결해요
미라쥬양과점 대치점,"카페,디저트",서울 강남구 도곡로78길 9 1층 미라쥬양과점,두바이초콜릿 쿠키,손바닥 크기의 두툼한 쿠기와 두바이초콜릿의 조화,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,가성비가 좋아요
누데이크 신사,"카페,디저트",서울 강남구 강남대로162길 43 Le82빌딩 1-2층,명란 오니와상,짭짤한 명란 크림치즈와 달콤한 명란마요 시럽의 조화가 완벽한 밸런스를 이루는 삼각 크로와상,디저트가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,커피가 맛있어요,사진이 잘 나와요
바게트케이,베이커리,서울 강남구 테헤란로34길 21-10,말제르브바게트,겉이 바삭하고 속이 부드러운 길이가 긴 말제르브 바게트,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,가성비가 좋아요
트키 도산,"카페,디저트",서울 강남구 도산대로45길 10-2 1층 트키,오리지널 바스크 치즈케이크,"신선한 치즈와 달걀, 100% 동물성 생크림, 바닐라빈으로 구워낸 프리미엄 치즈케이크",디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,친절해요
브라이언스커피,"카페,디저트","서울 강남구 논현로26길 46 1층, 2층",몰라떼,유기농 몰라시스와 생크림을 커피에 넣어 부드럽게 즐기는 브라이언스커피만의 시그니처 메뉴.,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,대화하기 좋아요
