케르반베이커리&카페,베이커리,서울 용산구 이태원로 208,두바이 초콜릿,터키 빵 카이막과 꿀의 환상적인만남! 1인세트로 즐기실 수 있습니다.,특별한 메뉴가 있어요,빵이 맛있어요,친절해요,음료가 맛있어요,커피가 맛있어요
카토,브런치,"서울 용산구 한강대로7길 22-7 1층, 2층",라자냐 Eggplant Lasagna,구운 가지와 정성껏 끓인 라구소스가 만나 고소하고 풍미가득한 건강과 맛을 다 챙긴 라자냐,음식이 맛있어요,인테리어가 멋져요,재료가 신선해요,친절해요,특별한 메뉴가 있어요
토터스,"카페,디저트",서울 용산구 신흥로 81 1층,복숭아 모찌 수플레,매일 직접 만드는 찹쌀떡을 올린 복숭아 모찌 팬케이크,디저트가 맛있어요,커피가 맛있어요,특별한 메뉴가 있어요,음료가 맛있어요,인테리어가 멋져요
더트러플베이커리,베이커리,서울 용산구 대사관로5길 19,,,빵이 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,인테리어가 멋져요,친절해요
도토리 용산점,"카페,디저트",서울 용산구 한강대로52길 25-6 1층,리얼 허니 그릭요거트,신선하고 달콤한 벌집꿀을 러프하게 담아낸 베이직한 그릭 요거트,디저트가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,커피가 맛있어요,사진이 잘 나와요
르솔레이,"카페,디저트",서울 용산구 이태원로54길 28 2층 LE SOLEIL,마들렌,,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,커피가 맛있어요
브레디포스트 용산점,"카페,디저트",서울 용산구 한강대로44길 6 2층,초코 바닐라,초콜릿의 달콤함과 바닐라빈이 듬뿍 들어간 바닐라크림의 조화를 느낄 수 있는 부드러운 프레즐,디저트가 맛있어요,인테리어가 멋져요,커피가 맛있어요,특별한 메뉴가 있어요,친절해요
-,-,-,-,-,-,-,-,-,-
테디뵈르하우스 용산점,"카페,디저트",서울 용산구 한강대로40가길 42 1층,Beurre croissant,겉은 바삭하고 속은 촉촉한 부드럽고 고소한 맛의 크로아상,디저트가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,커피가 맛있어요,사진이 잘 나와요
서울앵무새 용산점,"카페,디저트","서울 용산구 한강대로62길 55 1, 2, 3층",캔디에이드,사탕을 섞으면 색이 변하는 재미에 레몬과 사과의 상큼함과 달콤함으로 입까지 즐거운 에이드,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,특별한 메뉴가 있어요
콤포타블 남산,"카페,디저트",서울 용산구 두텁바위로60길 49 대원정사 별관 4층,그랑핸드,그랑핸드가 추구하는 맛과 향을 담은 특제 에이드,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,뷰가 좋아요,음료가 맛있어요
발루토피비,"카페,디저트","서울 용산구 녹사평대로32길 37 1층, 2층",딸기와플,*시즌메뉴입니다:) *평일17시/주말18시까지만 판매중,커피가 맛있어요,디저트가 맛있어요,친절해요,음료가 맛있어요,빵이 맛있어요
더베이커스테이블,베이커리,서울 용산구 녹사평대로 244-1,daily soup,,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,가성비가 좋아요
인바이티드,"카페,디저트",서울 용산구 한강대로52길 41 인바이티드,아몬드 크림 플랫,,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요,대화하기 좋아요
언뎁트,"카페,디저트","서울 용산구 두텁바위로13길 11 1,2층",필터커피,"달달한 크림에 토마토소르베, 레몬제스트",커피가 맛있어요,인테리어가 멋져요,사진이 잘 나와요,디저트가 맛있어요,친절해요
올드페리도넛 한남점,도넛,서울 용산구 한남대로27길 66 2층,크림브륄레,프랑스 디저트 크림브륄레 스타일의 커스터드 크림으로 꽉 채워진 시그니쳐 도넛,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,매장이 청결해요
지엠엘,카페,서울 용산구 한남대로27가길 22 3층,싱글 필터 커피,원두의 맛이 잘 표현될 수 있도록 섬세한 손길로 정성스레 내린 커피(Hot/Ice),커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요
장마가 시작될 때,"카페,디저트",서울 용산구 회나무로28길 6-3 지하1층,바닐라라떼,,커피가 맛있어요,인테리어가 멋져요,친절해요,아늑해요,집중하기 좋아요
카페타자기,"카페,디저트",서울 용산구 신흥로 97-5 내제 2층호,바나나브레드,잘 익은 바나나와 유기농 재료들로만 만든 타자기의 바나나브레드.,뷰가 좋아요,커피가 맛있어요,인테리어가 멋져요,사진이 잘 나와요,음료가 맛있어요
패션5,베이커리,서울 용산구 이태원로 272 SPC빌딩,투게더 구움과자 선물세트 No.91,,빵이 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,매장이 청결해요,친절해요
오시오카페 아이파크몰용산점,"카페,디저트",서울 용산구 한강대로23길 55 아이파크몰 용산점 6층,명란 소금빵,,디저트가 맛있어요,커피가 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요
만천재,"카페,디저트",서울 용산구 청파로 297 DAND 빌딩1층,만천재 가배,연유의 달달함과 녹진한 크림치즈가 조화를 이룬 특별한 커피맛의 만천재 또하나의 시그니처,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,친절해요,인테리어가 멋져요
3F LOBBY,"카페,디저트",서울 용산구 한강대로15길 19-19 3층,The Lobby Blend,"3F/LOBBY 시그니처 원두, 핸드드립 으로 추출됩니다.",커피가 맛있어요,인테리어가 멋져요,친절해요,디저트가 맛있어요,특별한 메뉴가 있어요
AVEK CHERI,"카페,디저트","서울 용산구 이태원로 247 1,2층",메론 소금빵 with 크림,"신선하고 달콤한 메론크림이 가득 들어간 메론 소금빵(크림 없는 버전은 5,000원입니다!)",디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,음료가 맛있어요
고효동,카페,서울 용산구 임정로 63 1F,스푼 라떼N,신선한 생크림이 듬뿍 올라간 라떼를 고소한 쿠키와 함께! 스푼도 드세욤!!!,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,친절해요,특별한 메뉴가 있어요
모센트,"카페,디저트",서울 용산구 한강대로52길 25-14,핸드드립 커피,,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,대화하기 좋아요,음료가 맛있어요
무진장,카페,서울 용산구 녹사평대로 168-18,코스타리카싱글 콜드커피,콜드브루의 편견을 깨는 즐거운 경험 코스타리카 싱글로 다크초콜릿 풍미 그리고 싱글이라 깔끔!,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,대화하기 좋아요,친절해요
피요르드,"카페,디저트",서울 용산구 한강대로53길 2-7 1층,오제이 아메리카노,"리얼 오렌지 베이스, 탄산수, 커피 달콤청량한 아메리카노",커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,사진이 잘 나와요,대화하기 좋아요
어반클리프,브런치카페,서울 용산구 신흥로20길 43 1층,통오징어 로제 리조또,SQUID ROSE RISOTTO,인테리어가 멋져요,음식이 맛있어요,뷰가 좋아요,친절해요,대화하기 좋아요
에치그,"카페,디저트",서울 용산구 한강대로52길 40 1층,Americano,진하고 너티한 맛에 산뜻한 향이 있는 아메리카노,인테리어가 멋져요,커피가 맛있어요,디저트가 맛있어요,대화하기 좋아요,음료가 맛있어요
알페도,베이커리,서울 용산구 이태원로 174 1층 4-5호,터키전통보렉,,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,음료가 맛있어요
베이커리무이,베이커리,서울 용산구 원효로81길 17 1층,소금빵,,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,커피가 맛있어요,매장이 청결해요
mtl 효창,"카페,디저트",서울 용산구 효창원로69길 25 1층 mtl,필터커피,,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,친절해요,매장이 청결해요
크림커넥션,"카페,디저트",서울 용산구 녹사평대로46길 29 1층,커넥션 라떼,서울 5대 아인슈페너,커피가 맛있어요,음료가 맛있어요,특별한 메뉴가 있어요,디저트가 맛있어요,인테리어가 멋져요
