-,-,-,-,-,-,-,-,-,-
베이커리카페 피버,베이커리,서울 성북구 화랑로 265,Summer (ICE only),상큼한 오렌지크림과 플랫화이트,빵이 맛있어요,커피가 맛있어요,인테리어가 멋져요,매장이 청결해요,친절해요
바스크,카페,서울 성북구 삼양로9길 10-2,Americano,,커피가 맛있어요,디저트가 맛있어요,친절해요,매장이 청결해요,음료가 맛있어요
디어브레드 고대점,베이커리,서울 성북구 개운사1길 29,크렌베리바게트,,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,가성비가 좋아요,건강한 맛이에요
사만 커피 로스터스,"카페,디저트",서울 성북구 성북로6길 2-2,핸드드립커피,매달 새로이 로스팅하는 핸드 드립 스페셜티 커피 라인업은 인스타그램 체크해 주세요 :),커피가 맛있어요,인테리어가 멋져요,친절해요,특별한 메뉴가 있어요,음료가 맛있어요
유즈리스어덜트,"카페,디저트",서울 성북구 보문로18길 25 1층,깔루아커피 ALC 1%,깔루아 라떼 ACL1.0%,인테리어가 멋져요,커피가 맛있어요,사진이 잘 나와요,음료가 맛있어요,디저트가 맛있어요
카페 그레테,"카페,디저트","서울 성북구 보국문로 87-6 카페그레테 1층, 2층",아쌈 밀크티대표,,커피가 맛있어요,매장이 청결해요,친절해요,음료가 맛있어요,대화하기 좋아요
카페 원오프,카페,서울 성북구 동소문로22길 57-4 2층,녹차숲(말차머핀),촉촉한 녹차 시트에 화이트 크림을 가득채워 말차 크림을 올린 녹차숲 🌳,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요
오와케이크 성신여대점,"카페,디저트",서울 성북구 보문로34다길 31 1층,미니 바스크치즈(오리지널)N,요청사항에 픽업날짜 와 시간을 기입해주세요. (최소 2일전 주문 / 월~일 11pm~8pm 픽업 가능 당일 예약 및 문의는 매장으로 전화 문의 부탁드립니다. 높이 5cm 작고 귀여운 미니치즈바스크,디저트가 맛있어요,커피가 맛있어요,친절해요,음료가 맛있어요,인테리어가 멋져요
-,-,-,-,-,-,-,-,-,-
맬크,"카페,디저트",서울 성북구 아리랑로4가길 5 1층,레몬파운드,샤인머스켓 사이에 레몬커스터드가 들어가 상큼하게 즐길수 있습니다,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,커피가 맛있어요,매장이 청결해요
요거트월드 성신여대점,"카페,디저트",서울 성북구 동소문로26길 21 1층 요거트월드,(폭탄세트) 골드키위 + 벌꿀 + 요거트아이스크림(300g (2인)),맛있는 골드키위를 폭탄으로 드립니다 :D,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,가성비가 좋아요,매장이 청결해요
스파츠,카페,서울 성북구 보문로30나길 29-1 한옥,아메리칸브렉퍼스트,"깜빠뉴2장,소시지2개,루꼴라,당근라페,스크램블에그,딸기잼,버터가 올라가는 플레이트",커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,친절해요,대화하기 좋아요
샐러드 프린세스,"카페,디저트",서울 성북구 화랑로13길 42,리코타치즈 샐러드,매장에서 직접 만든 수제 리코타치즈가 듬뿍 올라갑니다,가성비가 좋아요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,디저트가 맛있어요
이씨네빵집 성신여대점,베이커리,서울 성북구 보문로 173-2 1층,크림치즈화이트,프랑스산 치즈와 100% 동물성 생크림의 만남! 쫄깃한 반죽의 크림치즈 화이트,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,가성비가 좋아요,매장이 청결해요
오페라,"카페,디저트",서울 성북구 보문로30길 80 1층 오페라,브라운치즈크로플,선별된 최고급 로스팅 원두로 만든 아메리카노,인테리어가 멋져요,커피가 맛있어요,음료가 맛있어요,디저트가 맛있어요,친절해요
샌드위치 하우스,베이커리,서울 성북구 보문로34가길 2,구운양파소고기치즈파니니,베이컨사워 10000,음식이 맛있어요,친절해요,특별한 메뉴가 있어요,재료가 신선해요,빵이 맛있어요
베이커리 어썸 피넛,베이커리,서울 성북구 동소문로22길 57-10 1층,메론빵 아이스크림,바삭한 메론빵에 부드러운 아이스크림을 넣은 여름 디저트 (땅콩 카라멜 토핑 추가 가능),빵이 맛있어요,특별한 메뉴가 있어요,친절해요,인테리어가 멋져요,가성비가 좋아요
카페구월,"카페,디저트",서울 성북구 보문로30길 43,구월크로플,,커피가 맛있어요,친절해요,집중하기 좋아요,대화하기 좋아요,음료가 맛있어요
모블러,카페,서울 성북구 동소문로26다길 26 1층 101호 mobler,Financier(휘낭시에),정제된 재료를 사용하여 정성을 담아 만든 구움과자.,디저트가 맛있어요,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요
스프레드 서울,"카페,디저트",서울 성북구 성북로6가길 1 1층,고메버터스콘,,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,인테리어가 멋져요,매장이 청결해요
베이키숍,"카페,디저트",서울 성북구 월계로 80 1층 (장위동),시즌에이드,시즌별로 맛이 변동됩니다.,디저트가 맛있어요,커피가 맛있어요,친절해요,인테리어가 멋져요,음료가 맛있어요
누야그,카페,서울 성북구 종암로10길 15 1층,후르츠요거트타르트,제철과일과 요거트 크림을 듬뿍 올린 타르트 (과일 구성은 사진과 다를 수 있음),디저트가 맛있어요,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요
오월의밀밭,베이커리,서울 성북구 종암로19길 40 1층,라우겐 쪽파 베이글,이즈니버터로 만든 소금빵입니다 오전9시30분 70개 오후 1시30분70개 일일한정 140개,빵이 맛있어요,친절해요,매장이 청결해요,특별한 메뉴가 있어요,가성비가 좋아요
슬로우브레드파파,베이커리,서울 성북구 보문로30나길 29 1층,앙버터,앵커버터와 팥앙금을 가득 담은 앙버터,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,가성비가 좋아요,매장이 청결해요
-,-,-,-,-,-,-,-,-,-
아케미,아이스크림,서울 성북구 창경궁로 318 101호,비건 아이스크림 싱글 컵/콘,병아리콩 삶은 물로 만든 식물성 마쉬멜로우,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,재료가 신선해요,종류가 다양해요
빵굼터 돈암점,베이커리,서울 성북구 동소문로20길 18,소보로 빵,,빵이 맛있어요,가성비가 좋아요,친절해요,특별한 메뉴가 있어요,매장이 청결해요
꼰츄로,"카페,디저트",서울 성북구 동소문로3길 4 . 1층 1호,츄로 크림 라떼,츄러스를 꽂아주는 꼰츄로의 시그니쳐 크림 라떼,디저트가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,커피가 맛있어요,친절해요
-,-,-,-,-,-,-,-,-,-
우주제빵소,"카페,디저트",서울 강서구 양천로47나길 7 1층,상하목장아이스크림,,디저트가 맛있어요,커피가 맛있어요,뷰가 좋아요,인테리어가 멋져요,친절해요
커피브론즈 로스터스,"카페,디저트",서울 성북구 삼양로 39 2층,블랙 론즈 카푸치노,바닐라베이스에 다크초콜릿 토핑이 올라간 커피브론즈의 시그니쳐 카푸치노입니다.,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,친절해요,대화하기 좋아요
써리얼 벗 나이스,"카페,디저트","서울 성북구 동소문로25길 1 , 1층",2인용 미니 홀케이크 (당일구매가능),미니 홀케이크(2인용) 입니다 말차/흑임자/쑥/초코/당근,디저트가 맛있어요,친절해요,커피가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요
성북동 연우재,"카페,디저트",서울 성북구 성북로 15-6,에스프레소,,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,디저트가 맛있어요,대화하기 좋아요
카페후프,"카페,디저트",서울 성북구 장월로 126 1층 카페후프,[1위]크로플 (바닐라젤라또포함) 핵맛(1Piece),"프랑스 이즈니크로플과 유기농 메이플시럽, 바닐라 젤라또의 구성",커피가 맛있어요,인테리어가 멋져요,친절해요,디저트가 맛있어요,음료가 맛있어요
카공족 한성대입구역점,"카페,디저트","서울 성북구 동소문로6길 4-19 1층, 지하1층",카공족 자유이용권,카공족 자유이용권은 시간제한이 없어요 자유이용권에는 카공족 커피가 함께 무료 제공되어요!,집중하기 좋아요,가성비가 좋아요,매장이 청결해요,커피가 맛있어요,인테리어가 멋져요
성북동 과일카페 58.4,"카페,디저트",서울 성북구 성북로16길 4-13 1층,사과케일,유기농 케일과 사과만을 착즙한 주스,음료가 맛있어요,친절해요,재료가 신선해요,특별한 메뉴가 있어요,인테리어가 멋져요
바스켓테이블,"카페,디저트",서울 성북구 동소문로 115-1 바스켓테이블,로메인버터샌드위치,,디저트가 맛있어요,커피가 맛있어요,친절해요,매장이 청결해요,특별한 메뉴가 있어요
카페지오,"카페,디저트",서울 성북구 동소문로24길 46 카페지오,생자몽빙수,저칼로리 생자몽빙수 !!! 많이 달지않고 상큼 달콤 깔끔한 빙수를 찾으신다면 강추,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,음료가 맛있어요,커피가 맛있어요
cafe ONO,"카페,디저트",서울 성북구 화랑로42길 52-8 1층 CAFE ONO,[패스오더전용] 100원 아메리카노,"패스오더 앱 설치하면, 최소 주문 금액 없이 100원에 커피 주문+1,500원 쿠폰까지",커피가 맛있어요,친절해요,음료가 맛있어요,인테리어가 멋져요,매장이 청결해요
디저트라인업,"카페,디저트",서울 성북구 동소문로 304,바닐라까눌레,바삭쫀득한 맛이 일품인 까눌레,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,반려동물과 가기 좋아요
성북로,카페,"서울 성북구 성북로28길 10 1, 2층 성북로",아인슈페너,,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요
더베리와플,와플,서울 성북구 개운사길 22-3 1층,생크림 와플,,디저트가 맛있어요,가성비가 좋아요,특별한 메뉴가 있어요,커피가 맛있어요,매장이 청결해요
ANOTHERH,"카페,디저트",서울 성북구 장월로1길 56-9 2층 ANOTHERH,수제청 에이드,카페에서 직접 담근 다양한 수제청 에이드를 맛보세요!,커피가 맛있어요,음료가 맛있어요,매장이 청결해요,집중하기 좋아요,디저트가 맛있어요
일상,카페,서울 성북구 성북로 106,오늘의커피,,커피가 맛있어요,친절해요,음료가 맛있어요,대화하기 좋아요,특별한 메뉴가 있어요
네이버후드,"카페,디저트",서울 성북구 대사관로 133 1층,아메리카노,"기본원두 - 스페셜티 원두 (파푸아뉴기니 블루마룬틴 유기농 30%,에티오피아, etc)",커피가 맛있어요,주차하기 편해요,뷰가 좋아요,디저트가 맛있어요,대화하기 좋아요
세이버스커피,카페,서울 성북구 종암로 167 상가 1층 122호 세이버스커피,스페셜티 HOT,로스터 추천 원두,커피가 맛있어요,친절해요,매장이 청결해요,인테리어가 멋져요,특별한 메뉴가 있어요
