카페 드 파리 명동점,카페,서울 중구 명동4길 26 2층,티아라 생딸기 케이크,티아라 딸기 케이크 100% 순 동물성 생크림 핸드메이드 케이크,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요
덕수궁 리에제와플,와플,서울 중구 덕수궁길 5,와플 두바이 초콜릿N,"두바이 초콜릿과 리에제 와플의 만남, 바삭하고 고소한 맛의 완벽한 조화를 경험해보세요. 특별한 디저트를 찾고 있다면 지금 바로 선택하세요!",디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,음료가 맛있어요
르풀,카페,서울 중구 정동길 33 신아일보,르풀파니니,Vegie,특별한 메뉴가 있어요,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,친절해요
커피한약방,카페,서울 중구 삼일대로12길 16-6,필터커피,핸드드립 방식의 추출커피,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,음료가 맛있어요,사진이 잘 나와요
더 스팟 패뷸러스,"카페,디저트",서울 중구 명동2길 22 1.2층,티라미수 / 치즈케이크 / 프랑스 구움과자,르끄로동 블루 출신 셰프와 디저트팀이 만드는 티라미수 / 진한 치즈맛이 살아있는 치즈케이크 / 수시로 종류가 바뀌는 디저트들! 꼭 맛보세요^^*!,디저트가 맛있어요,인테리어가 멋져요,커피가 맛있어요,음료가 맛있어요,사진이 잘 나와요
던킨 시청역점,도넛,서울 중구 세종대로 93 광학빌딩 1층,올스타 도넛세트,"던킨에서 가장 잘나가는 도넛6개로 구성된 버라이어티6EA와 맛있는 먼치킨 10EA가 더해진 올스타 도넛세트 버라이어티 6EA: 페이머스 글레이즈드, 올리브츄이스티, 허니후리터, 카푸치노츄이스티, 스트로베리필드, 바바리안필드 먼치킨 10EA: 스트로베리먼치킨/카카오하니딥먼치킨/올드훼션드먼치킨/라이스 먼치킨/바바리안 먼치킨/치토스 먼치킨 중 10EA 임의구성 (기본 구성품목 결품시 동일가격 타품목 대체 제공: 1500원 1EA, 1900원 4EA, 2100원 1EA) (점포 재고 상황에 따라서 품목이 제한적일 수 있습니다.)",디저트가 맛있어요,커피가 맛있어요,친절해요,매장이 청결해요,음료가 맛있어요
라운드앤드,베이커리,서울 중구 정동길 35 두비빌딩,카푸치노,직접 로스팅하는 신선한 최상급 케냐AA원두,빵이 맛있어요,커피가 맛있어요,친절해요,음료가 맛있어요,특별한 메뉴가 있어요
커피루소 정동,"카페,디저트",서울 중구 정동길 17 1층,정동 브런치 플레이트,[Signature] 다양한 요리를 한번에 즐길 수 있는 브런치 플레이트,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,대화하기 좋아요,음료가 맛있어요
빠우 을지로점,도넛,서울 중구 을지로 157 대림상가 3층 라열 361호,빠우박스인기,6가지 도나스를 선택하면 1000원할인,디저트가 맛있어요,가성비가 좋아요,특별한 메뉴가 있어요,친절해요,음식이 맛있어요
르빵 명동성당점,베이커리,서울 중구 명동길 74 B103호,군밤파이,"소보루를 잔뜩 올린 식빵에 진짜 ""공주통밤""이 가득한 르빵의 대표메뉴",빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,가성비가 좋아요
