메모러블모먼트,"카페,디저트",서울 강동구 양재대로83길 14 메모러블모먼트,메모러블 크림 커피,메모러블의 특제 크림과 리스트레또 베이스 플랫화이트의 달콤 쌉쌀한 플레이버,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,음료가 맛있어요,매장이 청결해요
바이스트릿 강동점,카페,서울 강동구 고덕로 102 1층 101호,버터크림라떼대표,수제 버터카라멜크림+특제 우유베이스 궁극의 라떼,커피가 맛있어요,디저트가 맛있어요,친절해요,음료가 맛있어요,대화하기 좋아요
올드페리도넛 명일점,도넛,서울 강동구 고덕로38길 53 1층,시그니처 세트,"크림브륄레, 피넛버터, 버터피스타치오, 우유크림",디저트가 맛있어요,인테리어가 멋져요,커피가 맛있어요,특별한 메뉴가 있어요,친절해요
브랜뉴하이몬드,베이커리,"서울 강동구 천호옛14길 11 브랜뉴하이몬드 1, 2층",산딸기바게트,파삭한 잡곡바게트에 새콤달콤 산딸기 크림이 어우러진 하이몬드의 시그니처 메뉴,빵이 맛있어요,커피가 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요
스윗솔트,"카페,디저트",서울 강동구 상암로 286,2인 브런치 세트 (배민 스페셜)(2~3인분),에그베네딕트 + 갈비살 버섯리조또 + 아메리카노 2잔,커피가 맛있어요,음식이 맛있어요,주차하기 편해요,디저트가 맛있어요,뷰가 좋아요
미드데이썬,케이크전문,서울 강동구 양재대로91나길 55,딸기수플레팬케이크,"수제 커스타드크림, 딸기시럽, 달콤한 생크림과 신선한 생딸기가 듬뿍 들어간 수플레",디저트가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,인테리어가 멋져요,친절해요
브로일링커피 강동점,"카페,디저트",서울 강동구 성내로10길 9-6 1층,스카치 브라운대표,Only ice 더치 라떼와 달달한 스카치 크림이 올라간 커피,커피가 맛있어요,인테리어가 멋져요,매장이 청결해요,친절해요,음료가 맛있어요
커피몽타주,카페,서울 강동구 올림픽로48길 23-12 1층,카페라떼,,커피가 맛있어요,친절해요,매장이 청결해요,음료가 맛있어요,인테리어가 멋져요
메모러블모먼트,"카페,디저트",서울 강동구 양재대로83길 14 메모러블모먼트,메모러블 크림 커피,메모러블의 특제 크림과 리스트레또 베이스 플랫화이트의 달콤 쌉쌀한 플레이버,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,음료가 맛있어요,매장이 청결해요
cafe쿰베오,"카페,디저트",서울 강동구 명일로26길 12 1층,쿰디 퐁당,갸또 쇼콜라•젤라또•시나몬쿠키 조합의 디저트,디저트가 맛있어요,커피가 맛있어요,친절해요,인테리어가 멋져요,특별한 메뉴가 있어요
미드타임커피,"카페,디저트",서울 강동구 올림픽로72길 19-3 1층,미드타임크림라떼,진한 커피 크림과 달콤한 라떼,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요
카페오늘 암사점,"카페,디저트",서울 강동구 상암로4가길 36 1층,아메리카노인기,,디저트가 맛있어요,커피가 맛있어요,특별한 메뉴가 있어요,음료가 맛있어요,대화하기 좋아요
담금,"카페,디저트",서울 강동구 성내로18길 37 101호 담금,젤라또 컵 (2가지 맛),제철 신선 재료로 매장에서 직접 손질해 끓이는 오늘의 스프와 포카챠 *10월 당근스프,인테리어가 멋져요,특별한 메뉴가 있어요,음식이 맛있어요,친절해요,커피가 맛있어요
시간을담다베이커리,베이커리,서울 강동구 동남로49길 54 지하 1층,치아바타,,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,건강한 맛이에요,가성비가 좋아요
-,-,-,-,-,-,-,-,-,-
버터온,"카페,디저트",서울 강동구 천중로 39 1층 4호,모카 버터온바N,에스프레소와 함께 직접만든 초콜릿을 더한 와그작 씹는 재미가 있는 버터온바 신메뉴 모카,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,친절해요,인테리어가 멋져요
카페제이,"카페,디저트",서울 강동구 동남로82길 19,맛보면 재주문100%) 프렌치 잠봉뵈르,정통사워도우바게트+소금집 잠봉+프랑스AOP고메버터+할라피뇨,음료가 맛있어요,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요
-,-,-,-,-,-,-,-,-,-
썸머러너,"카페,디저트",서울 강동구 천호대로 989 1층 102호,전화고장!공지한번씩만 읽어주세요,전화가 고장났어요ㅠ 문의주시는 거의 모든내용 기재되어있습니다!,커피가 맛있어요,디저트가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,음료가 맛있어요
이드커피,"카페,디저트",서울 강동구 양재대로91나길 95 1층,카페라떼,차가운 세상 속에 따스함을 찾아 드립니다. 고소함 그리고 담백함.,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요
바하마스,"카페,디저트",서울 강동구 진황도로 123,아메리카노,,커피가 맛있어요,친절해요,디저트가 맛있어요,인테리어가 멋져요,매장이 청결해요
제이든 커피,"카페,디저트",서울 강동구 천호대로219가길 50 1층 제이든커피,허니 레몬 에이드N,신선한 레몬으로 매장에서 직접 만든 수제레몬청을 사용해 더욱 상큼하고 맛있게 즐길 수 있습니다 :D,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요
해임시,와인,서울 강동구 천호대로157길 26 4층,블랙가지튀김,가지를 타피오카 전분과 오징어 먹물로 반죽을 만들어 튀겨낸 요리,음식이 맛있어요,인테리어가 멋져요,친절해요,음악이 좋아요,특별한 메뉴가 있어요
파트원나이스,"카페,디저트",서울 강동구 올림픽로89길 29 1층,파스트라미 샌드위치,,커피가 맛있어요,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,음료가 맛있어요
테라로사 길동점,카페,서울 강동구 천호대로 1221,핸드드립,,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,매장이 청결해요,대화하기 좋아요
베니커피숍,카페,서울 강동구 양재대로91길 72 1층,아메리카노,미디엄로스팅의 마시기 편안한 아메리카노,디저트가 맛있어요,커피가 맛있어요,친절해요,음료가 맛있어요,인테리어가 멋져요
헤르츠로그,카페,서울 강동구 천호옛길 57 연재빌딩 1층 101호,헤르츠 에이드,"향긋한 캐모마일티와 수제 레몬청, 허브로 이루어진 헤르츠 로그만의 음료입니다^^",디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,커피가 맛있어요,음료가 맛있어요
잇다,"카페,디저트","서울 강동구 천호대로 1156-5 1층, B1층",프렌치토스트 브런치 세트,제철과일과 샐러드& 숙성시킨 프렌치토스트 입니다. (소세지세트or 닭가슴살 세트),커피가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요,디저트가 맛있어요
