자마버거 이대점,햄버거,서울 서대문구 연세로2마길 17 1층,빅오리지널 버거 180g,"자마 시그니처 버거! 육즙 팡팡 신선한 수제 패티 180g,(로메인, 카라멜라이징 어니언) 두번 구운 카라멜라이징 어니언이 펼쳐내는 진한 풍미!",음식이 맛있어요,재료가 신선해요,양이 많아요,친절해요,인테리어가 멋져요
카페 마,"카페,디저트",서울 서대문구 연희로11가길 48-10,카페라떼,,디저트가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요
하이드미플리즈 홍제,카페,서울 서대문구 통일로39나길 5,밤라떼,출시하자마자 현재 가장 많이 판매되고 있는 겨울과 너무 잘어울리는 밤라떼 :),커피가 맛있어요,디저트가 맛있어요,친절해요,음료가 맛있어요,인테리어가 멋져요
신촌브루스,"카페,디저트",서울 서대문구 신촌로 87-4 B동 4층,플레인 휘낭시에,,커피가 맛있어요,친절해요,디저트가 맛있어요,집중하기 좋아요,뷰가 좋아요
통인동커피공방 신촌로스팅라이브러리,카페,서울 서대문구 연세로 13 유플렉스 12층,더치오트(Only Ice),Hot 은 카푸치노로 변경 가능,커피가 맛있어요,뷰가 좋아요,인테리어가 멋져요,사진이 잘 나와요,친절해요
디저트콩콩,베이커리,"서울 서대문구 거북골로14길 5 상가동 제지하층 제01호, 제02호",소금빵,겉은 바삭 속은 쫄깃한 소금빵 오전 9시에 나옵니다,빵이 맛있어요,친절해요,디저트가 맛있어요,가성비가 좋아요,특별한 메뉴가 있어요
오마이치아바타,베이커리,서울 서대문구 충정로9길 20 1층,바질 햄치즈 샌드위치,짭조름한 햄&치즈가 신선한 야채와 함께 향긋한 바질소스가 들어간 담백한 바질샌드위치,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,건강한 맛이에요,매장이 청결해요
카페 피에노,"카페,디저트",서울 서대문구 신촌로37길 16 종로곱창 건물 2층,아메리카노,,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,디저트가 맛있어요,친절해요
다도레 티룸,차,서울 서대문구 증가로 13-9 3층,계절 한정 티 코스,각 계절에 어울리는 4종의 프리미엄 티와 제철 재료로 만든 수제 다과가 제공되는 한정 코스,차가 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요,매장이 청결해요
이씨에그타르트 신촌점,"카페,디저트",서울 서대문구 연세로4길 61 1층 101호,에그타르트,다양한 맛의 에그타르트가 준비되어있습니다!,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,음식이 맛있어요
랩트,카페,서울 서대문구 연희로11길 51 1층,초코베리롤,,디저트가 맛있어요,커피가 맛있어요,친절해요,매장이 청결해요,음료가 맛있어요
그래피카,"카페,디저트",서울 서대문구 연희로 180 2층,Wine bottle,달콤함과 쌉쌀함의 밸런스가 좋은 그래피카 아메리카노는 디카페인도 준비되어 있습니다.,인테리어가 멋져요,커피가 맛있어요,친절해요,디저트가 맛있어요,매장이 청결해요
그레인바운더리,베이커리,서울 서대문구 명물길 50-6 1~3층,딕만스 쿠키,진한초코반죽에 마시멜로우 가득 찐한 초콜릿 딕만스쿠키,커피가 맛있어요,인테리어가 멋져요,빵이 맛있어요,음료가 맛있어요,특별한 메뉴가 있어요
에이테이블 아현점,"카페,디저트",서울 서대문구 북아현로24길 8 단독 1층,에그타르트,겹겹이 둘러싼 풍성한 층의 시트에 프리미엄 바닐라빈이 들어간 커스터드 크림으로 필링을 듬뿍 채운 겉바속촉 수제 에그타르트,디저트가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,커피가 맛있어요,친절해요
퍼스트바이쓰리,"카페,디저트",서울 서대문구 홍제천로 206 1층,아리라떼 (아몬드 크림),풍미있는 아몬드 크림과 초코 파우더로 마무리한 크림 라떼,커피가 맛있어요,인테리어가 멋져요,친절해요,디저트가 맛있어요,음료가 맛있어요
알레스구떼,베이커리,서울 서대문구 연희로26길 4,까망베르,오징어먹물+롤치즈이용한 반죽 페프페이스트리 까망베르치즈가 많이 들어간 빵입니다.,빵이 맛있어요,친절해요,커피가 맛있어요,특별한 메뉴가 있어요,매장이 청결해요
호풀리,"카페,디저트",서울 서대문구 통일로39길 43 1층,호지밤롤,호지차시트 오곡크림 공주 정안 보늬밤 🌰 기성품 밤통조림은 사용하지 않습니다.,디저트가 맛있어요,커피가 맛있어요,친절해요,인테리어가 멋져요,특별한 메뉴가 있어요
그루밍커피,"카페,디저트",서울 서대문구 이화여대3길 26 1층 102호,두바이초콜릿,SNS 인기만점 두바이초콜릿 ! 하나부터 열까지 매장에서 직접 만들고 있어 소량 준비합니다,디저트가 맛있어요,커피가 맛있어요,친절해요,음료가 맛있어요,특별한 메뉴가 있어요
고스트요거트 이대점,"카페,디저트",서울 서대문구 이화여대길 52-15 1층 고스트요거트,베이글N,베이글과 토핑(베이글 필수 선택) 담기 후 수량 및 종류 선택 가능,디저트가 맛있어요,친절해요,가성비가 좋아요,매장이 청결해요,특별한 메뉴가 있어요
헤일우드,"카페,디저트",서울 서대문구 통일로34길 7 1층,아메리카노(테이크아웃)인기대표,"고소함속에 은은한 산미가 숨어있는 아메리카노 테이크아웃 2,000원 할인",커피가 맛있어요,친절해요,인테리어가 멋져요,디저트가 맛있어요,음료가 맛있어요
로네펠트 티하우스 서대문,"카페,디저트",서울 서대문구 충정로 71-5 1층 로네펠트 티하우스 서대문,애플망고생크림케이크N,,음료가 맛있어요,커피가 맛있어요,특별한 메뉴가 있어요,친절해요,디저트가 맛있어요
-,-,-,-,-,-,-,-,-,-
티아레나,홍차전문점,서울 서대문구 연희맛로 43-2,브랜드 티,"포트넘앤메이슨, 마리아쥬프레르, 다만프레르, 로네펠트, 크리스틴다트너, 쿠스미티",차가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,친절해요,음료가 맛있어요
카페 모래내 1번지,"카페,디저트",서울 서대문구 수색로 43 1층 Cafe 카페 모래내 1번지,에스프레소,ESPRESSO,커피가 맛있어요,친절해요,인테리어가 멋져요,매장이 청결해요,음료가 맛있어요
사워도우 랩,베이커리,서울 서대문구 신촌로 39 1층 사워도우랩,플레인 사워도우,유기농 프랑스 밀과 물로만 만든 기본 사워도우,빵이 맛있어요,건강한 맛이에요,특별한 메뉴가 있어요,친절해요,매장이 청결해요
브라운체리,"카페,디저트","서울 서대문구 모래내로15길 58 1층, 브라운체리 원두상점",아포가토인기N,쫀쫀한 질감의 프레시밀크 아이스크림과 진한 꼬숩에스프레소의 만남,커피가 맛있어요,친절해요,매장이 청결해요,음료가 맛있어요,인테리어가 멋져요
국민우유집 본점,"카페,디저트",서울 서대문구 증가로10길 49 101호,딸기 生 우유,[수년간 수제 딸기청을 개발] [차별화 된 맛과 건강한 맛] [국민우유집만의 특별한 비법],음료가 맛있어요,커피가 맛있어요,가성비가 좋아요,특별한 메뉴가 있어요,디저트가 맛있어요
보틀라운지,"카페,디저트",서울 서대문구 홍연길 26 1층,비건 코코넛 아포가토,비건 코코넛 아이스크림 추가 +3.0,커피가 맛있어요,친절해요,음료가 맛있어요,집중하기 좋아요,대화하기 좋아요
제니스 까페,카페,서울 서대문구 연희맛로 17-49 2층,아라비아따 펜네,,특별한 메뉴가 있어요,친절해요,대화하기 좋아요,인테리어가 멋져요,가성비가 좋아요
로덴드론 연희 1호점,카페,서울 서대문구 연희로25길 82,체리/블루베리 치즈케이크,쫀득하고 맛나는 블루베리/체리 필링이 올라간 치즈케이크!!!,커피가 맛있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요,대화하기 좋아요
온고 파티스리,베이커리,서울 서대문구 연희로11길 71 지층,온고 프랑스 향토과자,제주 레몬으로 만드는 파운드 케익입니다.,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,디저트가 맛있어요,인테리어가 멋져요
노아스로스팅 연희점,카페,서울 서대문구 연희로 160 1층 노아스로스팅,차콜리노,"강원도 참숯으로 로스팅한 시그니처 블랜드 ""다크벨벳""으로 만든 프리미엄 아메리카노",커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,대화하기 좋아요,매장이 청결해요
카페 에뚜왈,"카페,디저트",서울 서대문구 충정로4길 28 카페 에뚜왈,에스프레소,,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,친절해요,인테리어가 멋져요
카페페라,"카페,디저트",서울 서대문구 이화여대8길 2 1층 카페 페라,무화과 생크림,"1호 36,000원 3호 55,000원",디저트가 맛있어요,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요
설빙 신촌점,빙수,서울 서대문구 연세로 23 2층,인절미 설빙,,디저트가 맛있어요,특별한 메뉴가 있어요,음료가 맛있어요,친절해요,커피가 맛있어요
러브플루토,"카페,디저트",서울 서대문구 불광천길 180 1층 101호,스팀베이글,따끈따끈 쫄깃쫄깃한 베이글과 두 가지 수제크림,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,친절해요,특별한 메뉴가 있어요
1994양과점,케이크전문,서울 서대문구 연희맛로 3-4 계단 위 3층 (옥상),떠먹는케이크,,디저트가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,친절해요,커피가 맛있어요
-,-,-,-,-,-,-,-,-,-
글룩베이커리,베이커리,서울 서대문구 명지대7길 19 1층,모카빵,크랜베리가 들어간 모카빵 커피향이 진하고 우유랑 먹으면 아주 맛있습니다,빵이 맛있어요,친절해요,가성비가 좋아요,특별한 메뉴가 있어요,매장이 청결해요
