스위스 그랜드 호텔,4성급,서울 서대문구 연희로 353,조용히 쉬기 좋아요,친절해요,호캉스하기 좋아요,주차하기 편해요,깨끗해요
신라스테이 서대문,3성급,서울 서대문구 충정로 76,친절해요,깨끗해요,대중교통이 편해요,조식이 맛있어요,조용히 쉬기 좋아요
더 그레이 호텔,호텔,서울 서대문구 수색로 34-6,조용히 쉬기 좋아요,침구가 좋아요,깨끗해요,친절해요,대중교통이 편해요
호텔힙,모텔,서울 서대문구 연세로2길 82,깨끗해요,침구가 좋아요,조용히 쉬기 좋아요,화장실이 잘 되어있어요,친절해요
-,-,-,-,-,-,-,-
월 호텔,호텔,서울 서대문구 연세로2길 101-10 월 호텔,침구가 좋아요,깨끗해요,친절해요,조용히 쉬기 좋아요,방음이 잘돼요
AVANI HOTEL&PLAY,호텔,서울 서대문구 연세로2길 50 AVANI HOTEL&PLAY,침구가 좋아요,깨끗해요,친절해요,조용히 쉬기 좋아요,방음이 잘돼요
루이호텔,모텔,서울 서대문구 연세로2나길 6,친절해요,깨끗해요,침구가 좋아요,주차하기 편해요,대중교통이 편해요
에버에잇 레지던스,호텔,서울 서대문구 신촌역로 7 푸르지오시티 에버에잇,친절해요,조용히 쉬기 좋아요,깨끗해요,대중교통이 편해요,주차하기 편해요
신촌 포레스타 호텔,호텔,서울 서대문구 연세로4길 16 신촌 포레스타,친절해요,깨끗해요,침구가 좋아요,대중교통이 편해요,조용히 쉬기 좋아요
노모어피자 이대점,피자,"서울 서대문구 이화여대길 51 2층, 3층",음식이 맛있어요,인테리어가 멋져요,양이 많아요,특별한 메뉴가 있어요,매장이 청결해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
연희장,게스트하우스,서울 서대문구 연희로 87 2층 연희장,깨끗해요,조용히 쉬기 좋아요,대중교통이 편해요,친절해요,냉난방이 잘돼요
모모호텔,모텔,서울 서대문구 연세로2길 48,친절해요,침구가 좋아요,주차하기 편해요,냉난방이 잘돼요,사진이 잘 나와요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
댓 하우스,게스트하우스,서울 서대문구 신촌로3가길 29,침구가 좋아요,친절해요,깨끗해요,조용히 쉬기 좋아요,대중교통이 편해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
디토호텔,2급,서울 서대문구 연세로2마길 20,깨끗해요,침구가 좋아요,조용히 쉬기 좋아요,친절해요,방음이 잘돼요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
호텔 레츠,모텔,서울 서대문구 신촌로 125-5 레츠호텔,침구가 좋아요,친절해요,근처에 갈 곳이 많아요,깨끗해요,화장실이 잘 되어있어요
가을호텔,모텔,서울 서대문구 연세로2나길 13,침구가 좋아요,깨끗해요,조용히 쉬기 좋아요,친절해요,주차하기 편해요
호텔맥,모텔,서울 서대문구 연세로2길 46,침구가 좋아요,친절해요,깨끗해요,조용히 쉬기 좋아요,근처에 갈 곳이 많아요
-,-,-,-,-,-,-,-
호텔라싸,1성급,서울 서대문구 연세로2가길 3 라싸호텔,친절해요,깨끗해요,조용히 쉬기 좋아요,침구가 좋아요,인테리어가 멋져요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
위고인호스텔,호스텔,"서울 서대문구 신촌로 141 위고인호스텔빌딩 6~8층, RECEPTION 1F",친절해요,깨끗해요,침구가 좋아요,화장실이 잘 되어있어요,조용히 쉬기 좋아요
치즈 게스트하우스,게스트하우스,서울 서대문구 신촌로3가길 33 1층,깨끗해요,친절해요,침구가 좋아요,조용히 쉬기 좋아요,화장실이 잘 되어있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
렉시호텔,모텔,서울 서대문구 연세로2가길 14,침구가 좋아요,친절해요,방음이 잘돼요,깨끗해요,조용히 쉬기 좋아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
준모텔,모텔,서울 서대문구 수색로2길 30-4,친절해요,깨끗해요,대중교통이 편해요,냉난방이 잘돼요,침구가 좋아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
킴스테이,게스트하우스,서울 서대문구 신촌로 87-20,친절해요,깨끗해요,화장실이 잘 되어있어요,즐길 거리가 많아요,침구가 좋아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
오션시티,호텔,서울 서대문구 신촌역로 7,깨끗해요,침구가 좋아요,친절해요,대중교통이 편해요,냉난방이 잘돼요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
리베로모텔,모텔,서울 서대문구 응암로 130,냉난방이 잘돼요,침구가 좋아요,깨끗해요,친절해요,방음이 잘돼요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
코텔 신촌역점,모텔,서울 서대문구 연세로2길 34,친절해요,깨끗해요,조용히 쉬기 좋아요,침구가 좋아요,방음이 잘돼요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
