-,-,-,-,-,-,-,-
본노엘 답십리,베이커리,서울 동대문구 전농로 75-18 1층,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,가성비가 좋아요
키라쿠 안암점,"카페,디저트",서울 동대문구 약령시로 5-1 1층,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,친절해요,인테리어가 멋져요
한시십일분,"카페,디저트",서울 동대문구 망우로 66 지하1층,디저트가 맛있어요,인테리어가 멋져요,커피가 맛있어요,음료가 맛있어요,친절해요
딜리디저트,"카페,디저트",서울 동대문구 서울시립대로 88 1층,디저트가 맛있어요,친절해요,커피가 맛있어요,음료가 맛있어요,매장이 청결해요
레프트커피 경희대점,"카페,디저트",서울 동대문구 회기로 164 1층 레프트커피,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,음료가 맛있어요,친절해요
설빙 서울이문점,빙수,서울 동대문구 휘경로 9,디저트가 맛있어요,특별한 메뉴가 있어요,대화하기 좋아요,친절해요,음료가 맛있어요
남원당제주,"카페,디저트",서울 동대문구 고산자로32길 78 1층 106~109호,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,친절해요
스타벅스 청량리역롯데캐슬스카이점,카페,"서울 동대문구 답십리로 27 (전농동, 청량리역 롯데캐슬 SKY-L65)",커피가 맛있어요,디저트가 맛있어요,친절해요,음료가 맛있어요,대화하기 좋아요
스타벅스 신설동역점,카페,서울 동대문구 왕산로 19 (신설동),커피가 맛있어요,친절해요,음료가 맛있어요,디저트가 맛있어요,매장이 청결해요
스타벅스 회기역사거리점,카페,서울 동대문구 이문로 37 (회기동),커피가 맛있어요,친절해요,음료가 맛있어요,디저트가 맛있어요,매장이 청결해요
이문동커피집 크럼블로스터스,"카페,디저트",서울 동대문구 이문로25길 39 1층,커피가 맛있어요,음료가 맛있어요,친절해요,가성비가 좋아요,특별한 메뉴가 있어요
강경원베이커리,베이커리,서울 동대문구 사가정로 80 카운티에비뉴 1층110호 강경원베이커리,빵이 맛있어요,친절해요,매장이 청결해요,특별한 메뉴가 있어요,커피가 맛있어요
경동시장청년몰,시장,서울 동대문구 고산자로36길 3 경동시장 신관 3층 청년몰,볼거리가 많아요,친절해요,시설이 깔끔해요,트렌디해요,컨셉이 독특해요
브레드칸 청량리점,베이커리,서울 동대문구 왕산로 268-1,빵이 맛있어요,가성비가 좋아요,친절해요,특별한 메뉴가 있어요,매장이 청결해요
크로네베이커리,베이커리,서울 동대문구 경희대로 17,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,가성비가 좋아요
커피나인,카페,서울 동대문구 전농로3길 12 1층,커피가 맛있어요,음료가 맛있어요,친절해요,매장이 청결해요,가성비가 좋아요
대즐링,"카페,디저트",서울 동대문구 안암로 132 1층,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,친절해요,특별한 메뉴가 있어요
설빙 동대문장안점,빙수,서울 동대문구 답십리로 300 마하나임빌딩 2층,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,음료가 맛있어요,매장이 청결해요
-,-,-,-,-,-,-,-
누스,"카페,디저트",서울 동대문구 장한로28가길 41-1 1층,인테리어가 멋져요,커피가 맛있어요,디저트가 맛있어요,사진이 잘 나와요,친절해요
투썸플레이스 청량리점,카페,서울 동대문구 고산자로32길 78 121~127호,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,인테리어가 멋져요,매장이 청결해요
커피빈 장안점,카페,서울 동대문구 장한로 115,커피가 맛있어요,음료가 맛있어요,친절해요,매장이 청결해요,대화하기 좋아요
탐앤탐스 시립대로미디어점,카페,서울 동대문구 서울시립대로 58,커피가 맛있어요,매장이 청결해요,집중하기 좋아요,음료가 맛있어요,디저트가 맛있어요
한복천하,한복대여,"서울 동대문구 왕산로 287 2층, 3층",친절해요,옷이 다양해요,옷이 예뻐요,상담이 자세해요,스타일 추천을 잘해줘요
해머스미스커피 서울시립대점,카페,"서울 동대문구 서울시립대로 155 1, 2층",커피가 맛있어요,집중하기 좋아요,음료가 맛있어요,인테리어가 멋져요,디저트가 맛있어요
