호암산,산,서울 관악구 신림동 산57-13,뷰가 좋아요,사진이 잘 나와요,조용히 쉬기 좋아요,대중교통이 편해요,붐비지 않아요
서울버터샌드,"카페,디저트",서울 관악구 조원로10길 28 101호 서울버터샌드,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,인테리어가 멋져요
내 사랑을 먹어주세요,"카페,디저트",서울 관악구 관악로15길 23-16 1층,디저트가 맛있어요,집중하기 좋아요,커피가 맛있어요,음료가 맛있어요,가성비가 좋아요
-,-,-,-,-,-,-,-
스타벅스 서울대입구역점,카페,서울 관악구 남부순환로 1812 (봉천동),커피가 맛있어요,친절해요,음료가 맛있어요,디저트가 맛있어요,매장이 청결해요
스타벅스 낙성대DT점,카페,서울 관악구 남부순환로 1948 (봉천동),커피가 맛있어요,친절해요,음료가 맛있어요,디저트가 맛있어요,매장이 청결해요
서라당,"카페,디저트",서울 관악구 신사로 120-1 1층 서라당,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,커피가 맛있어요
히코,"카페,디저트",서울 관악구 남부순환로 1746-1 2층,커피가 맛있어요,인테리어가 멋져요,친절해요,사진이 잘 나와요,디저트가 맛있어요
퐁퐁플라워 롯데백화점 관악센터,"키즈카페,실내놀이터",서울 관악구 봉천로 209 롯데백화점 관악점 지하1층,놀거리가 많아요,매장이 청결해요,친절해요,가격이 합리적이에요,테마가 재미있어요
낙타날다,"카페,디저트",서울 관악구 승방4길 32,커피가 맛있어요,인테리어가 멋져요,친절해요,디저트가 맛있어요,음료가 맛있어요
카페녹다,"카페,디저트",서울 관악구 신림로15길 31 1층,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,친절해요,빵이 맛있어요
-,-,-,-,-,-,-,-
설빙 서울서울대점,빙수,서울 관악구 관악로 154 2층,디저트가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,대화하기 좋아요,음료가 맛있어요
-,-,-,-,-,-,-,-
팀홀튼 서울대입구역점,카페,서울 관악구 남부순환로 1805 1층 팀홀튼 서울대입구역점,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,대화하기 좋아요,특별한 메뉴가 있어요
카페폴,"카페,디저트",서울 관악구 남부순환로234길 43 1층,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요
-,-,-,-,-,-,-,-
카페달달스콘,"카페,디저트",서울 관악구 조원로 129 1층,디저트가 맛있어요,인테리어가 멋져요,커피가 맛있어요,친절해요,음료가 맛있어요
돌체베이커리,베이커리,서울 관악구 쑥고개로 84 1층 돌체베이커리,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,가성비가 좋아요
마티스커피,"카페,디저트",서울 관악구 신림로59길 15-6 2층,인테리어가 멋져요,친절해요,음식이 맛있어요,특별한 메뉴가 있어요,매장이 청결해요
-,-,-,-,-,-,-,-
스타벅스 관악서울대입구R점,카페,서울 관악구 관악로 158 (봉천동),커피가 맛있어요,친절해요,음료가 맛있어요,디저트가 맛있어요,매장이 청결해요
스타벅스 낙성대역점,카페,서울 관악구 남부순환로 1908 (봉천동),커피가 맛있어요,친절해요,음료가 맛있어요,디저트가 맛있어요,매장이 청결해요
십장생베이커리,베이커리,서울 관악구 관악로6길 94 1층 101호,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,가성비가 좋아요,매장이 청결해요
-,-,-,-,-,-,-,-
크리스피크림도넛 서울대입구역점,도넛,서울 관악구 관악로 202 1층,디저트가 맛있어요,친절해요,커피가 맛있어요,매장이 청결해요,가성비가 좋아요
발루토,"카페,디저트",서울 관악구 신림로23길 28 VALUTO,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,친절해요,특별한 메뉴가 있어요
-,-,-,-,-,-,-,-
비건마마,"카페,디저트",서울 관악구 봉천로 457-1 1층,디저트가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,인테리어가 멋져요,친절해요
투썸플레이스 신림로점,카페,서울 관악구 신림로 328 1~3층,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,친절해요,대화하기 좋아요
카페인중독 본점,와플,서울 관악구 봉천로6길 40,디저트가 맛있어요,커피가 맛있어요,친절해요,가성비가 좋아요,특별한 메뉴가 있어요
스타벅스 서울대역점,카페,서울 관악구 남부순환로 1817 (봉천동),커피가 맛있어요,친절해요,음료가 맛있어요,디저트가 맛있어요,매장이 청결해요
라붐아울렛 서울대점,아울렛,서울 관악구 남부순환로 1820,친절해요,가성비가 좋아요,품질이 좋아요,종류가 다양해요,시설이 깔끔해요
옐로우버터드림,"카페,디저트",서울 관악구 관악로14나길 10 2층,디저트가 맛있어요,인테리어가 멋져요,커피가 맛있어요,음료가 맛있어요,특별한 메뉴가 있어요
스타벅스 봉천역점,카페,서울 관악구 남부순환로 1730 (봉천동),커피가 맛있어요,친절해요,디저트가 맛있어요,음료가 맛있어요,매장이 청결해요
홀로상점,독립서점,서울 관악구 관악로12길 25 1층,친절해요,분위기가 편안해요,특색 있는 제품이 많아요,인테리어가 멋져요,예쁜 소품이 많아요
파스쿠찌 센트로서울대점,카페,서울 관악구 관악로 1 (신림동) 서울대학교 사범대간이식당 111동,커피가 맛있어요,디저트가 맛있어요,뷰가 좋아요,음료가 맛있어요,대화하기 좋아요
또또케이크,케이크전문,서울 관악구 신림로66길 42 104호 DDODDOCAKE,주문제작을 잘해줘요,디저트가 맛있어요,가성비가 좋아요,친절해요,특별한 메뉴가 있어요
소보로,베이커리,서울 관악구 문성로16가길 47,빵이 맛있어요,친절해요,가성비가 좋아요,특별한 메뉴가 있어요,커피가 맛있어요
설빙 신림점,빙수,서울 관악구 남부순환로 1598,디저트가 맛있어요,특별한 메뉴가 있어요,음료가 맛있어요,대화하기 좋아요,커피가 맛있어요
커피빈 서울대입구역점,카페,서울 관악구 관악로 161,커피가 맛있어요,음료가 맛있어요,집중하기 좋아요,대화하기 좋아요,좌석이 편해요
솔티스윗,"카페,디저트",서울 관악구 시흥대로160길 32 1층 103호,디저트가 맛있어요,친절해요,커피가 맛있어요,인테리어가 멋져요,매장이 청결해요
-,-,-,-,-,-,-,-
작은따옴표 도림천점,"카페,디저트",서울 관악구 관천로 36-1 2층,인테리어가 멋져요,사진이 잘 나와요,음료가 맛있어요,친절해요,특별한 메뉴가 있어요
오케이크 서울대입구역점,케이크전문,서울 관악구 관악로 211 1층 오케이크,디저트가 맛있어요,가성비가 좋아요,친절해요,선물하기 좋아요,특별한 메뉴가 있어요
스타벅스 신림점,카페,서울 관악구 신림로 355-1 (신림동),커피가 맛있어요,친절해요,음료가 맛있어요,디저트가 맛있어요,매장이 청결해요
메이지커피,"카페,디저트",서울 관악구 난곡로 363-1 2층,커피가 맛있어요,집중하기 좋아요,친절해요,인테리어가 멋져요,음료가 맛있어요
방앗간아이,방앗간,서울 관악구 남부순환로248길 22,친절해요,가성비가 좋아요,품질이 좋아요,종류가 다양해요,맛있어요
씨크스페셜티커피,"카페,디저트",서울 관악구 관악로12길 45-12 1층 씨크스페셜티커피,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,특별한 메뉴가 있어요,친절해요
-,-,-,-,-,-,-,-
디저트문,"카페,디저트",서울 관악구 신림로67길 9,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,인테리어가 멋져요,친절해요
요거트아이스크림의정석 신림점,아이스크림,서울 관악구 봉천로6길 17 1층 요아정,디저트가 맛있어요,커피가 맛있어요,특별한 메뉴가 있어요,매장이 청결해요,친절해요
쟝블랑제리 롯데백화점관악점,베이커리,서울 관악구 봉천로 209,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,가성비가 좋아요
